Sort Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent
JLPT_Tango_N4_0164,プリント,プリント,"handout, printout",[sound:JLPT_Tango_N4_0164.mp3],これは今日の授業のプリントです。,これは 今日[きょう]の 授業[じゅぎょう]のプリントです。,This is the handout for today's class.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0165,おもて,おもて,"front, front-side",[sound:JLPT_Tango_N4_0165.mp3],プリントのおもてを見てください。,プリントのおもてを 見[み]てください。,Please look at the front of this handout.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0165-005,うら,うら,"back, back-side",[sound:JLPT_Tango_N4_0165-005.mp3],,,,,,,Opposite meaning of おもて,Ch 02 - 勉強と仕事,Sect 01 - 学校,
JLPT_Tango_N4_0166,テスト,テスト,test,[sound:JLPT_Tango_N4_0166.mp3],今日のテストはとてもむずかしかったです。,今日[きょう]のテストはとてもむずかしかったです。,Today's test was really hard.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0166-005,試験,試験[しけん],"test, examination",[sound:JLPT_Tango_N4_0166-005.mp3],,,,,,,Related meaning to テスト,Ch 02 - 勉強と仕事,Sect 01 - 学校,
JLPT_Tango_N4_0166-006,入学試験,入学[にゅうがく] 試験[しけん],school entrance examination,[sound:JLPT_Tango_N4_0166-006.mp3],,,,,,,Related meaning to テスト,Ch 02 - 勉強と仕事,Sect 01 - 学校,
JLPT_Tango_N4_0166-007,大学入試,大学[だいがく] 入試[にゅうし],college entrance examination,[sound:JLPT_Tango_N4_0166-007.mp3],,,,,,,Related meaning to テスト,Ch 02 - 勉強と仕事,Sect 01 - 学校,
JLPT_Tango_N4_0167,通う,通[かよ]う,"to commute, to attend",[sound:JLPT_Tango_N4_0167.mp3],毎日、バスで学校に通っています。,毎日[まいにち]、バスで 学校[がっこう]に 通[かよ]っています。,I commute to school on the bus everyday.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0168,せいせき,せいせき,grades,[sound:JLPT_Tango_N4_0168.mp3],せいせきが悪くて、母にしかられました。,せいせきが 悪[わる]くて、 母[はは]にしかられました。,"My grades were bad, so I was scolded by my mother.",,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0169,点,点[てん],"point, mark",[sound:JLPT_Tango_N4_0169.mp3],きのうのテストの点はよくなかったです。,きのうのテストの 点[てん]はよくなかったです。,My score on yesterday's test wasn't good.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0169-005,満点,満点[まんてん],"full points, full marks",[sound:JLPT_Tango_N4_0169-005.mp3],,,,,,,Related meaning to 点,Ch 02 - 勉強と仕事,Sect 01 - 学校,
JLPT_Tango_N4_0169-006,点数,点数[てんすう],score,[sound:JLPT_Tango_N4_0169-006.mp3],,,,,,,Related meaning to 点,Ch 02 - 勉強と仕事,Sect 01 - 学校,
JLPT_Tango_N4_0170,まる,まる,"circle, correct mark",[sound:JLPT_Tango_N4_0170.mp3],テストでまるをたくさんもらいました。,テストでまるをたくさんもらいました。,I got a lot of correct marks on my test.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0170-005,ばつ,ばつ,"x, incorrect mark",[sound:JLPT_Tango_N4_0170-005.mp3],,,,,,,Opposite meaning of まる,Ch 02 - 勉強と仕事,Sect 01 - 学校,
JLPT_Tango_N4_0171,作文,作文[さくぶん],essay,[sound:JLPT_Tango_N4_0171.mp3],自分の国について作文を書きましょう。,自分[じぶん]の 国[くに]について 作文[さくぶん]を 書[か]きましょう。,Let's write an essay about your own country.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0171-005,文,文[ぶん],writing,[sound:JLPT_Tango_N4_0171-005.mp3],,,,,,,Related meaning to 作文,Ch 02 - 勉強と仕事,Sect 01 - 学校,
JLPT_Tango_N4_0172,（勉強が）できる,（ 勉強[べんきょう]が）できる,to be good at (studying),[sound:JLPT_Tango_N4_0172.mp3],弟は勉強がよくできます。,弟[おとうと]は 勉強[べんきょう]がよくできます。,My younger brother is good at studying.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0173,易しい,易[やさ]しい,easy,[sound:JLPT_Tango_N4_0173.mp3],きのうのテストはとても易しかったです。,きのうのテストはとても 易[やさ]しかったです。,Yesterday's test was really easy.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0174,かんたんな,かんたんな,"simple, easy",[sound:JLPT_Tango_N4_0174.mp3],このテストはとてもかんたんです。,このテストはとてもかんたんです。,This test is really simple.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0175,まちがえる,まちがえる,to make a mistake,[sound:JLPT_Tango_N4_0175.mp3],やさしい問題をまちがえてしまいました。,やさしい 問題[もんだい]をまちがえてしまいました。,I made a mistake on an easy question.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0175-005,（を）まちがう,（を）まちがう,to mistake (something),[sound:JLPT_Tango_N4_0175-005.mp3],,,,,,,Related meaning to まちがえる,Ch 02 - 勉強と仕事,Sect 01 - 学校,
JLPT_Tango_N4_0175-006,まちがい,まちがい,"mistake, error",[sound:JLPT_Tango_N4_0175-006.mp3],,,,,,,Related meaning to まちがえる,Ch 02 - 勉強と仕事,Sect 01 - 学校,
JLPT_Tango_N4_0176,チェック＜する＞,チェック＜する＞,check,[sound:JLPT_Tango_N4_0176.mp3],作文を日本人の友だちにチェックしてもらいました。,作文[さくぶん]を 日本人[にっぽんじん]の 友[とも]だちにチェックしてもらいました。,I had my Japanese friend check my essay.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0177,熱心な,熱心[ねっしん]な,passionate,[sound:JLPT_Tango_N4_0177.mp3],田中先生はとても熱心です。,田中[たなか] 先生[せんせい]はとても 熱心[ねっしん]です。,Tanaka-sensei is really passionate.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0178,やさしい,やさしい,gentle,[sound:JLPT_Tango_N4_0178.mp3],山田先生はとてもやさしいです。,山田[やまだ] 先生[せんせい]はとてもやさしいです。,Yamada-sensei is very gentle.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0179,きびしい,きびしい,strict,[sound:JLPT_Tango_N4_0179.mp3],木村先生はときどききびしいです。,木村[きむら] 先生[せんせい]はときどききびしいです。,Kimura-sensei is sometimes strict.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0180,まじめな,まじめな,serious,[sound:JLPT_Tango_N4_0180.mp3],彼はとてもまじめな学生です。,彼[かれ]はとてもまじめな 学生[がくせい]です。,He is a very serious student.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0181,えらい,えらい,"admirable, distinguished",[sound:JLPT_Tango_N4_0181.mp3],A国のえらい人が日本へ来ます。,A[エー] 国[こく]のえらい 人[ひと]が 日本[にほん]へ 来[き]ます。,A distinguished person from A Country is coming to Japan.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0182,せつび,せつび,equipment,[sound:JLPT_Tango_N4_0182.mp3],この学校のせつびは新しいです。,この 学校[がっこう]のせつびは 新[あたら]しいです。,The equipment at this school is new.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0183,ベル,ベル,bell,[sound:JLPT_Tango_N4_0183.mp3],１２時半にベルが鳴ります。,１２ 時半[じはん]にベルが 鳴[な]ります。,The bell rings at 12:30.,,,,,Ch 02 - 勉強と仕事,Sect 01 - 学校,X
JLPT_Tango_N4_0184,大学生,大学生[だいがくせい],"college student, university student",[sound:JLPT_Tango_N4_0184.mp3],早く大学生になりたいです。,早[はや]く 大学生[だいがくせい]になりたいです。,I want to be a college student early.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0184-005,女子大生,女子大[じょしだい] 生[せい],female college student,[sound:JLPT_Tango_N4_0184-005.mp3],,,,,,,Related meaning to 大学生,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0184-006,大学院生,大学院生[だいがくいんせい],graduate student,[sound:JLPT_Tango_N4_0184-006.mp3],,,,,,,Related meaning to 大学生,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0185,受ける,受[う]ける,to apply for,[sound:JLPT_Tango_N4_0185.mp3],日本の大学を受けたいです。,日本[にほん]の 大学[だいがく]を 受[う]けたいです。,I want to apply to a Japanese university.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0186,受かる,受[う]かる,to be accepted to,[sound:JLPT_Tango_N4_0186.mp3],行きたかった大学に受かりました。,行[い]きたかった 大学[だいがく]に 受[う]かりました。,I was accepted to the university I wanted to get into.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0186-005,合格する,合格[ごうかく]する,to be accepted to,[sound:JLPT_Tango_N4_0186-005.mp3],,,,,,,Same meaning as 受かる,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0187,留学＜する＞,留学[りゅうがく]＜する＞,foreign exchange,[sound:JLPT_Tango_N4_0187.mp3],デザインの勉強のために留学しました。,デザインの 勉強[べんきょう]のために 留学[りゅうがく]しました。,I went on an exchange to study design.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0187-005,留学生,留学生[りゅうがくせい],exchange student,[sound:JLPT_Tango_N4_0187-005.mp3],,,,,,,Related meaning to 留学＜する＞,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0188,目的,目的[もくてき],"goal, objective",[sound:JLPT_Tango_N4_0188.mp3],留学する目的は何ですか。,留学[りゅうがく]する 目的[もくてき]は 何[なん]ですか。,What is the goal of your going on an exchange?,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0189-001,ゆめ,ゆめ,dream,[sound:JLPT_Tango_N4_0189-001.mp3],①　私のゆめは何ですか。,①　私[わたし]のゆめは 世界[せかい] 旅行[りょこう]です。,①　My dream is to travel around the world,,,,①　A strong desire,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0189-002,ゆめ,ゆめ,dream,[sound:JLPT_Tango_N4_0189-002.mp3],②　ゆめの中で大好きなスターに会いました。,②　ゆめの 中[なか]で 大好[だいす]きなスターに 会[あ]いました。,②　I met my favorite star in my dream.,,,,②　Images seen when sleeping,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0190,学部,学部[がくぶ],school department,[sound:JLPT_Tango_N4_0190.mp3],この学部に行くかまだわかりません。,どの 学部[がくぶ]に 行[い]くかまだわかりません。,I don't know which department I want to join.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0190-005,医学部,医学部[いがくぶ],medical department,[sound:JLPT_Tango_N4_0190-005.mp3],,,,,,,Related meaning to 学部,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0190-006,工学部,工学部[こうがくぶ],engineering department,[sound:JLPT_Tango_N4_0190-006.mp3],,,,,,,Related meaning to 学部,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0191,専門,専門[せんもん],subject of study,[sound:JLPT_Tango_N4_0191.mp3],私の専門は教育学です。,私[わたし]の 専門[せんもん]は 教育[きょういく] 学[がく]です。,My field of study is education.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0192,科学,科学[かがく],science,[sound:JLPT_Tango_N4_0192.mp3],子どものときから科学が好きでした。,子[こ]どものときから 科学[かがく]が 好[す]きでした。,I've liked science since I was a child.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0192-005,化学,化学[かがく],chemistry,[sound:JLPT_Tango_N4_0192-005.mp3],,,,,,,Related meaning to 科学,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0193,医学,医学[いがく],(the field of) medicine,[sound:JLPT_Tango_N4_0193.mp3],医者になるために医学部に入りました。,医者[いしゃ]になるために 医学部[いがくぶ]に 入[はい]りました。,I joined the medical department because I want to be a doctor.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0193-005,医科大学,医科[いか] 大学[だいがく],medical university,[sound:JLPT_Tango_N4_0193-005.mp3],,,,,,,Related meaning to 医学,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0194,文学,文学[ぶんがく],(the field of) literature,[sound:JLPT_Tango_N4_0194.mp3],フランスの文学を勉強しています。,フランスの 文学[ぶんがく]を 勉強[べんきょう]しています。,I'm studying French literature.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0194-005,日本文学,日本[にほん] 文学[ぶんがく],Japanese literature,[sound:JLPT_Tango_N4_0194-005.mp3],,,,,,,Related meaning to 文学,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0194-006,文学部,文学部[ぶんがくぶ],literature department,[sound:JLPT_Tango_N4_0194-006.mp3],,,,,,,Related meaning to 文学,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0195,ほうりつ,ほうりつ,law,[sound:JLPT_Tango_N4_0195.mp3],大学でほうりつを勉強しています。,大学[だいがく]でほうりつを 勉強[べんきょう]しています。,I'm studying law in university.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0196,こうぎ＜する＞,こうぎ＜する＞,lecture,[sound:JLPT_Tango_N4_0196.mp3],山下先生のこうぎはわかりやすいです。,山下[やました] 先生[せんせい]のこうぎはわかりやすいです。,Yamashita-sensei's lectures are easy to understand.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0197,出席＜する＞,出席[しゅっせき]＜する＞,presence,[sound:JLPT_Tango_N4_0197.mp3],毎日、大学の授業に出席しています。,毎日[まいにち]、 大学[だいがく]の 授業[じゅぎょう]に 出席[しゅっせき]しています。,I'm present in university classes every day.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0198,欠席＜する＞,欠席[けっせき]＜する＞,absence,[sound:JLPT_Tango_N4_0198.mp3],かぜで授業を欠席しました。,かぜで 授業[じゅぎょう]を 欠席[けっせき]しました。,I've been absent from classes because I have a cold.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0199,レポート,レポート,report,[sound:JLPT_Tango_N4_0199.mp3],英語でレポートを書かなければなりません。,英語[えいご]でレポートを 書[か]かなければなりません。,I have to write a report in English.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0200,論文,論文[ろんぶん],thesis,[sound:JLPT_Tango_N4_0200.mp3],来週までに論文を出してください。,来週[らいしゅう]までに 論文[ろんぶん]を 出[だ]してください。,Please turn in your thesis by next week.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0200-005,卒業論文,卒業[そつぎょう] 論文[ろんぶん],graduation thesis,[sound:JLPT_Tango_N4_0200-005.mp3],,,,,,,Related meaning to 論文,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0201,しめ切り,しめ 切[き]り,deadline,[sound:JLPT_Tango_N4_0201.mp3],レポートのしめ切りは明日です。,レポートのしめ 切[ぎ]りは 明日[あした]です。,The deadline for the report is tomorrow.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0201-005,しめ切る,しめ 切[き]る,to cut off,[sound:JLPT_Tango_N4_0201-005.mp3],,,,,,,Related meaning to しめ切り,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0202,研究＜する＞,研究[けんきゅう]＜する＞,research,[sound:JLPT_Tango_N4_0202.mp3],大学院で数学を研究したいです。,大学院[だいがくいん]で 数学[すうがく]を 研究[けんきゅう]したいです。,I want to study math in university.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0202-005,研究所,研究所[けんきゅうじょ],research facility,[sound:JLPT_Tango_N4_0202-005.mp3],,,,,,,Related meaning to 研究＜する＞,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0202-006,研究者,研究[けんきゅう] 者[しゃ],researcher,[sound:JLPT_Tango_N4_0202-006.mp3],,,,,,,Related meaning to 研究＜する＞,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0202-007,研究室,研究[けんきゅう] 室[しつ],research room,[sound:JLPT_Tango_N4_0202-007.mp3],,,,,,,Related meaning to 研究＜する＞,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0203,実験＜する＞,実験[じっけん]＜する＞,experiment,[sound:JLPT_Tango_N4_0203.mp3],実験はたいへんですが、おもしろいです。,実験[じっけん]はたいへんですが、おもしろいです。,Experiments are difficult but interesting.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0204,まとめる,まとめる,summary/to summarize,[sound:JLPT_Tango_N4_0204.mp3],週末までに研究をまとめます。,週末[しゅうまつ]までに 研究[けんきゅう]をまとめます。,I will finalize the research by the weekend.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0204-005,（～が）まとまる,（～が）まとまる,"to be summarized, to be finalized",[sound:JLPT_Tango_N4_0204-005.mp3],,,,,,,Related meaning to まとめる,Ch 02 - 勉強と仕事,Sect 02 - 大学,
JLPT_Tango_N4_0205,ボランティア,ボランティア,volunteer,[sound:JLPT_Tango_N4_0205.mp3],休みの日にボランティアをしています。,休[やす]みの 日[ひ]にボランティアをしています。,I work as a volunteer on my days off.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0206,ふくざつな,ふくざつな,complicated,[sound:JLPT_Tango_N4_0206.mp3],この文はふくざつでよくわかりません。,この 文[ぶん]はふくざつでよくわかりません。,"This sentence is complicated, so I can't really understand.",,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0207-001,ひつよう＜な＞,ひつよう＜な＞,necessity/necessary,[sound:JLPT_Tango_N4_0207-001.mp3],①　学校では学生カードを作るひつようがあります。,①　学校[がっこう]では 学生[がくせい]カードを 作[つく]るひつようがあります。,"①　At school, it is necessary to make a student card.",,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0207-002,ひつよう＜な＞,ひつよう＜な＞,necessity/necessary,[sound:JLPT_Tango_N4_0207-002.mp3],②　これは授業にひつような本です。,②　これは 授業[じゅぎょう]にひつような 本[ほん]です。,②　This book is necesary for class.,,,,,Ch 02 - 勉強と仕事,Sect 02 - 大学,X
JLPT_Tango_N4_0208,考える,考[かんが]える,to think,[sound:JLPT_Tango_N4_0208.mp3],むずかしくても、よく考えればわかりません。,むずかしくても、よく 考[かんが]えればわかりません。,"Even if it's difficult, if you think hard, you'll understand.",,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0208-005,考え,考[かんが]え,"thinking, way of thinking",[sound:JLPT_Tango_N4_0208-005.mp3],,,,,,,Related meaning to 考える,Ch 02 - 勉強と仕事,Sect 03 - 勉強,
JLPT_Tango_N4_0208-006,考え方,考え方[かんがえかた],way of thinking,[sound:JLPT_Tango_N4_0208-006.mp3],,,,,,,Related meaning to 考える,Ch 02 - 勉強と仕事,Sect 03 - 勉強,
JLPT_Tango_N4_0209,辞典,辞典[じてん],"encyclopedia, dictionary",[sound:JLPT_Tango_N4_0209.mp3],カタカナことばの辞典を買いたいです。,カタカナことばの 辞典[じてん]を 買[か]いたいです。,I want to buy a dictionary of katakana words.,,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0209-005,辞書,辞書[じしょ],dictionary,[sound:JLPT_Tango_N4_0209-005.mp3],,,,,,,Related meaning to 辞典,Ch 02 - 勉強と仕事,Sect 03 - 勉強,
JLPT_Tango_N4_0209-006,電子辞書,電子[でんし] 辞書[じしょ],electronic dictionary,[sound:JLPT_Tango_N4_0209-006.mp3],,,,,,,Related meaning to 辞典,Ch 02 - 勉強と仕事,Sect 03 - 勉強,
JLPT_Tango_N4_0210,調べる,調[しら]べる,to look up,[sound:JLPT_Tango_N4_0210.mp3],わからないことばは自分で調べてください。,わからないことばは 自分[じぶん]で 調[しら]べてください。,Please look up any words you don't know on your own.,,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0211,かしかめる,かしかめる,"to check, to make sure of",[sound:JLPT_Tango_N4_0211.mp3],レポートを書いたら、たしかめてください。,レポートを 書[か]いたら、たしかめてください。,"Once you've written your report, please check it.",,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0212,予習＜する＞,予習[よしゅう]＜する＞,preparations,[sound:JLPT_Tango_N4_0212.mp3],毎日、漢字を予習してきてください。,毎日[まいにち]、 漢字[かんじ]を 予習[よしゅう]してきてください。,Please study kanji in advance everyday.,,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0213,復習＜する＞,復習[ふくしゅう]＜する＞,review,[sound:JLPT_Tango_N4_0213.mp3],復習しないと、ことばがおぼえられません。,復習[ふくしゅう]しないと、ことばがおぼえられません。,"If you don't review, you won't be able to memorize the words.",,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0214,思い出す,思い出[おもいだ]す,"to recall, to remember",[sound:JLPT_Tango_N4_0214.mp3],きのう復習したのに、漢字が思い出せません。,きのう 復習[ふくしゅう]したのに、 漢字[かんじ]が 思い出[おもいだ]せません。,I couldn't remember the kanji even though I reviewed yesterday.,,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0215,じゅく,じゅく,cram school,[sound:JLPT_Tango_N4_0215.mp3],学校が終わったら、じゅくに行きます。,学校[がっこう]が 終[お]わったら、じゅくに 行[い]きます。,"Once school is over, I'm going to cram school.",,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0216,やる,やる,to do,[sound:JLPT_Tango_N4_0216.mp3],家に帰ったら、すぐ宿題をやります。,家[いえ]に 帰[かえ]ったら、すぐ 宿題[しゅくだい]をやります。,"Once I get home, I do my homework right away.",,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0217,がんばる,がんばる,to do one's best,[sound:JLPT_Tango_N4_0217.mp3],勉強もスポーツもがんばっています。,勉強[べんきょう]もスポーツもがんばっています。,I do my best in sports and my studies.,,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0217-005,「がんばれ！」／「がんばって！」,「がんばれ！」／「がんばって！」,Do your best!,[sound:JLPT_Tango_N4_0217-005.mp3],,,,,,,Related meaning to がんばる,Ch 02 - 勉強と仕事,Sect 03 - 勉強,
JLPT_Tango_N4_0218,字,字[じ],"character, writing",[sound:JLPT_Tango_N4_0218.mp3],リーさんは字がとてもきれいです。,リーさんは 字[じ]がとてもきれいです。,Lee-san't writing is really pretty.,,,,"文字 can be used to refer to kanji, kana and Roman characters.",Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0218-005,文字,文字[もじ],character,[sound:JLPT_Tango_N4_0218-005.mp3],,,,,,,"文字 can be used to refer to kanji, kana and Roman characters. Related meaning to 字",Ch 02 - 勉強と仕事,Sect 03 - 勉強,
JLPT_Tango_N4_0219,ふりがな,ふりがな,"furigana, kana over or beside kanji to indicate pronunciation",[sound:JLPT_Tango_N4_0219.mp3],ふりがながないと、漢字が読めません。,ふりがながないと、 漢字[かんじ]が 読[よ]めません。,I can't read kanji if there is no furigana.,,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0219-005,読み方,読み方[よみかた],way of reading,[sound:JLPT_Tango_N4_0219-005.mp3],,,,,,,Related meaning to ふりがな,Ch 02 - 勉強と仕事,Sect 03 - 勉強,
JLPT_Tango_N4_0220,メモ＜する＞,メモ＜する＞,memo,[sound:JLPT_Tango_N4_0220.mp3],大切なことをメモしておきます。,大切[たいせつ]なことをメモしておきます。,I write down important things.,,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0221,文法,文法[ぶんぽう],grammar,[sound:JLPT_Tango_N4_0221.mp3],N４の文法をおぼえしましょう。,N４の 文法[ぶんぽう]をおぼえしましょう。,Let's memorize the N4 grammar.,,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0222,説明＜する＞,説明[せつめい]＜する＞,explanation,[sound:JLPT_Tango_N4_0222.mp3],この文法の説明はよくわかりません。,この 文法[ぶんぽう]の 説明[せつめい]はよくわかりません。,I don't really understand the explanation of this grammar.,,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0223,発音＜する＞,発音[はつおん]＜する＞,pronunciation,[sound:JLPT_Tango_N4_0223.mp3],マリアさんの発音はとてもきれいです。,マリアさんの 発音[はつおん]はとてもきれいです。,Maria-san's pronunciation is very clear.,,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0224,会話＜する＞,会話[かいわ]＜する＞,conversation,[sound:JLPT_Tango_N4_0224.mp3],日本語だけで会話しましょう。,日本語[にほんご]だけで 会話[かいわ]しましょう。,Let's talk only in Japanese.,,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0224-005,話す,話[はな]す,"to speak, to talk",[sound:JLPT_Tango_N4_0224-005.mp3],,,,,,,Related meaning to 会話＜する＞,Ch 02 - 勉強と仕事,Sect 03 - 勉強,
JLPT_Tango_N4_0224-006,話,話[はなし],"talk, speech",[sound:JLPT_Tango_N4_0224-006.mp3],,,,,,,Related meaning to 会話＜する＞,Ch 02 - 勉強と仕事,Sect 03 - 勉強,
JLPT_Tango_N4_0225,足す,足[た]す,to add,[sound:JLPT_Tango_N4_0225.mp3],２５に４７を足すと、７２になります。,２５[にじゅうご]に４７[よんじゅうなな]を 足[た]すと、７２[ななじゅうに]になります。,"If you add 25 to 47, it equals 72.",,,,,Ch 02 - 勉強と仕事,Sect 03 - 勉強,X
JLPT_Tango_N4_0225-005,引く,引[ひ]く,to subtract,[sound:JLPT_Tango_N4_0225-005.mp3],,,,,,,Related meaning to 足す,Ch 02 - 勉強と仕事,Sect 03 - 勉強,
JLPT_Tango_N4_0225-006,（数を）かける,（ 数[かず]を）かける,to multiply (numbers),[sound:JLPT_Tango_N4_0225-006.mp3],,,,,,,Related meaning to 足す,Ch 02 - 勉強と仕事,Sect 03 - 勉強,
JLPT_Tango_N4_0225-007,（数を）わる,（数を）わる,to divide (a number),[sound:JLPT_Tango_N4_0225-007.mp3],,,,,,,Related meaning to 足す,Ch 02 - 勉強と仕事,Sect 03 - 勉強,
