Sort,Sort Index,Vocabulary-Japan,Vocab-Furigana,Vocab-English,Audio File,Sent-Japan,Sent-Furigana,Sent-English,Alternate,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent,Reading,Tag,Entry Type
335,JLPT_Tango_N1_0195-011,無効（な）,,invalid; void; ineffective; unavailable,[sound:JLPT_Tango_N1_0195-011.mp3],,,,,,,,,,,,195.1,N1単語3000_2-2,Additional
336,JLPT_Tango_N1_0196,名義,,"name, nominal",[sound:JLPT_Tango_N1_0196.mp3],この銀行口座は妻の名義になっている。,,This bank account is in my wife’s name ,,,,,,,,X,196,N1単語3000_2-2,Main
337,JLPT_Tango_N1_0197,一括（する）,,all at once,[sound:JLPT_Tango_N1_0197.mp3],【A】：お支払いは一括でよろしいですか。　【B】：分割でお願いします。,,"A: Will you make a single payment? B: No, please make them in installments  ",,,,,,,,X,197,N1単語3000_2-2,Main
338,JLPT_Tango_N1_0197-011,分割（する）,,partition; division; separation; segmenting; splitting​,[sound:JLPT_Tango_N1_0197-011.mp3],,,,,,,,,,,,197.1,N1単語3000_2-2,Additional
339,JLPT_Tango_N1_0198,換算（する）,,convert,[sound:JLPT_Tango_N1_0198.mp3],海外では、ドルを円に換算して買い物をする。,,You convert dollars into yen when shopping overseas,,,,,,,,X,198,N1単語3000_2-2,Main
340,JLPT_Tango_N1_0199,ピンからキリまで,,from the superb to the appalling,[sound:JLPT_Tango_N1_0199.mp3],ダイヤモンドにも、値段はピンからキリまである。,,There is a whole range of prices for diamonds,,,,,,,,X,199,N1単語3000_2-2,Main
341,JLPT_Tango_N1_0199-011,ピンキリ,,from the superb to the appalling,[sound:JLPT_Tango_N1_0199-011.mp3],,,,,,,,,,,,199.1,N1単語3000_2-2,Additional
342,JLPT_Tango_N1_0200,切りがない,,no end,[sound:JLPT_Tango_N1_0200.mp3],欲しいものを全部買っていたらきりがない。,,"If you keep buying everything you want, you’ll never stop",,,,,,,,X,200,N1単語3000_2-2,Main
343,JLPT_Tango_N1_0201,切りがいい,,good place to cut off ,[sound:JLPT_Tango_N1_0201.mp3],八百屋でいろいろ買ったら、切りがいい値段にしてくれた。,,The vegetable store rounded off my total because I bought a lot from them ,,,,,,,,X,201,N1単語3000_2-2,Main
344,JLPT_Tango_N1_0202,手近（な）,,close at hand,[sound:JLPT_Tango_N1_0202.mp3],今日は買い物に行けないので、手近な物で料理した。,,"I wasn’t able to go shopping today, so I cooked with what I had on hand ",,,,,,,,X,202,N1単語3000_2-2,Main
345,JLPT_Tango_N1_0203,細やかな,,thoughtful,[sound:JLPT_Tango_N1_0203.mp3],あの店は細やかなサービスで評判がいい。,,That shop is popular for its thoughtful services ,,,,,,,,X,203,N1単語3000_2-2,Main
346,JLPT_Tango_N1_0204,緩む,,loosen,[sound:JLPT_Tango_N1_0204.mp3],ボーナスをもらうと、つい財布のひもが緩む。,,I tend to loosen the purse strings when I receive a bonus ,,,,,,,,X,204,N1単語3000_2-2,Main
347,JLPT_Tango_N1_0204-011,（を）緩める,,loosen (something),[sound:JLPT_Tango_N1_0204-011.mp3],,,,,,,,,,,,204.1,N1単語3000_2-2,Additional
348,JLPT_Tango_N1_0205,すかさず,,in a split second,[sound:JLPT_Tango_N1_0205.mp3],商品が並ぶやいなや、すかさずかごに入れた。,,"The moment the product is put on the shelf, I put it in my basket ",,,,,,,,X,205,N1単語3000_2-2,Main
349,JLPT_Tango_N1_0206,仕入れる,,put in stock,[sound:JLPT_Tango_N1_0206.mp3],その商品は今は売り切れだが、明日仕入れるそうだ。,,"That product is currently sold out, but it will be in stock tomorrow ",,,,,,,,X,206,N1単語3000_2-2,Main
350,JLPT_Tango_N1_0206-011,仕入れ,,purchase stock,[sound:JLPT_Tango_N1_0206-011.mp3],,,,,,,,,,,,206.1,N1単語3000_2-2,Additional
351,JLPT_Tango_N1_0207,不良品,,defective product,[sound:JLPT_Tango_N1_0207.mp3],不良品は、すぐにお取り替えします。,,Defective products will be exchanged immediately ,,,,,,,,X,207,N1単語3000_2-2,Main
352,JLPT_Tango_N1_0208,下取り（する）,,trade in,[sound:JLPT_Tango_N1_0208.mp3],洗濯機を買った店で、古い洗濯機を下取りしてもらう。,,I will trade in my old washing machine for a new one at the shop ,,,,,,,,X,208,N1単語3000_2-2,Main
353,JLPT_Tango_N1_0209,アフターサービス,,after-sales service,[sound:JLPT_Tango_N1_0209.mp3],あの店は商品のアフターサービスも万全だ。,,That shop provides excellent  after-sales service of its products ,,,,,,,,X,209,N1単語3000_2-2,Main
354,JLPT_Tango_N1_0209-011,アフターケア,,after-sales service,[sound:JLPT_Tango_N1_0209-011.mp3],,,,,,,,,,,,209.1,N1単語3000_2-2,Additional
355,JLPT_Tango_N1_0210,味覚,,taste,[sound:JLPT_Tango_N1_0210.mp3],季節の味覚を楽しむ。,,Enjoy the seasonal tastes ,,,,,,,,X,210,N1単語3000_2-3,Main
356,JLPT_Tango_N1_0211,甘口（な）,,sweetness/sweet,[sound:JLPT_Tango_N1_0211.mp3],ワインはどちらかといえば甘口のほうが好きだ。,,"If I have to choose, prefer sweet wine ",,,,,,,,X,211,N1単語3000_2-3,Main
357,JLPT_Tango_N1_0212-001,辛口（な）,,dryness/dry,[sound:JLPT_Tango_N1_0212-001.mp3],1. 今日の料理には辛口の酒の方が合う。,,① Today’s dishes go well with dry sake ,,,,,,,,X,212,N1単語3000_2-3,Main
358,JLPT_Tango_N1_0212-002,辛口（な）,,dryness/dry,[sound:JLPT_Tango_N1_0212-002.mp3],2. あの人のコメントはいつも辛口だ。,,② That person’s comments is always scathing ,,,,,,,,X,212,N1単語3000_2-3,Main
359,JLPT_Tango_N1_0213,辛党,,a drinker,[sound:JLPT_Tango_N1_0213.mp3],父は辛党で、甘い物を一切食べない。,,My father is a drinker and doesn’t eat any sweets ,,,,,,,,X,213,N1単語3000_2-3,Main
360,JLPT_Tango_N1_0213-011,甘党,,"(someone with a) sweet tooth; person fond of sweets; person who doesn't like alcohol, preferring sweets​",[sound:JLPT_Tango_N1_0213-011.mp3],,,,,,,,,,,,213.1,N1単語3000_2-3,Additional
361,JLPT_Tango_N1_0214,食わず嫌い（な）,,disliking without trying／dislike without trying,[sound:JLPT_Tango_N1_0214.mp3],食わず嫌いはよくない。一度食べてみよう。,,Disliking something without even trying it si not good. You should try it once ,,,,,,,,X,214,N1単語3000_2-3,Main
362,JLPT_Tango_N1_0214-011,食べず嫌い（な）,,disliking without trying／dislike without trying,[sound:JLPT_Tango_N1_0214-011.mp3],,,,,,,,,,,,214.1,N1単語3000_2-3,Additional
363,JLPT_Tango_N1_0215-001,たしなむ,,"relish, have a taste for",[sound:JLPT_Tango_N1_0215-001.mp3],1. お酒は特に好きではなく、たしなむ程度だ。,,① I don’t particularly like to drink; I just have a little. ,,,,,,,,X,215,N1単語3000_2-3,Main
364,JLPT_Tango_N1_0215-002,たしなむ,,"relish, have a taste for",[sound:JLPT_Tango_N1_0215-002.mp3],2. 以前、茶道を少したしなんだ。,,② I practiced tea ceremony a bit before ,,,,,,,,X,215,N1単語3000_2-3,Main
365,JLPT_Tango_N1_0215-011,たしなみ,,taste,[sound:JLPT_Tango_N1_0215-011.mp3],,,,,,,,,,,,215.1,N1単語3000_2-3,Additional
366,JLPT_Tango_N1_0216,すくう,,scoop,[sound:JLPT_Tango_N1_0216.mp3],スープの具が大きくて、ちょっとすくいにくい。,,The ingredients in this soup is cut large and difficult to scoop,,,,,,,,X,216,N1単語3000_2-3,Main
367,JLPT_Tango_N1_0217,すする,,slurp,[sound:JLPT_Tango_N1_0217.mp3],そばはすすって食べなければ、おいしくない。,,Eating noodles without slurping is not as tasty ,,,,,,,,X,217,N1単語3000_2-3,Main
368,JLPT_Tango_N1_0218-001,つつく,,poke,[sound:JLPT_Tango_N1_0218-001.mp3],1. 箸で食べ物をつつくのはやめなさい。,,① Do not poke the food with your chopsticks ,,,,,,,,X,218,N1単語3000_2-3,Main
369,JLPT_Tango_N1_0218-002,つつく,,poke,[sound:JLPT_Tango_N1_0218-002.mp3],2. 人の欠点をつついてはいけない。,,② Do not pick on people’s flaws ,,,,,,,,X,218,N1単語3000_2-3,Main
370,JLPT_Tango_N1_0219,かみきる,,bite off,[sound:JLPT_Tango_N1_0219.mp3],肉が固くて、なかなかかみきれない。,,The meat is tough and hard to bite off ,,,,,,,,X,219,N1単語3000_2-3,Main
371,JLPT_Tango_N1_0220-001,飲み込む,,swallow,[sound:JLPT_Tango_N1_0220-001.mp3],1. 肉は嫌いなので、かまずに飲み込んだ。,,① I don’t like meat so I swallowed it without chewing it ,,,,,,,,X,220,N1単語3000_2-3,Main
372,JLPT_Tango_N1_0220-002,飲み込む,,swallow,[sound:JLPT_Tango_N1_0220-002.mp3],2. 妹は料理のコツを飲み込むのがはやかった。,,② My younger sister was quick to get a knack for cooking.,,,,,,,,X,220,N1単語3000_2-3,Main
373,JLPT_Tango_N1_0220-011,飲み込み,,swallow,[sound:JLPT_Tango_N1_0220-011.mp3],,,,,,,,,,,,220.1,N1単語3000_2-3,Additional
374,JLPT_Tango_N1_0221,ごくごく「と」,,gulp down,[sound:JLPT_Tango_N1_0221.mp3],彼はビ一ルを水のようにごくごく飲む。,,He gulped down beer like water,,,,,,,,X,221,N1単語3000_2-3,Main
375,JLPT_Tango_N1_0221-011,がぶがぶ（と）,,gulp down,[sound:JLPT_Tango_N1_0221-011.mp3],,,,,,,,,,,,221.1,N1単語3000_2-3,Additional
376,JLPT_Tango_N1_0222,残らず,,without leaving anything,[sound:JLPT_Tango_N1_0222.mp3],妹はお菓子を一つ残らず食べてしまった。,,My younger sister ate all the sweets without leaving anything ,,,,,,,,X,222,N1単語3000_2-3,Main
377,JLPT_Tango_N1_0222-011,一人残らず,,everyone without exception,[sound:JLPT_Tango_N1_0222-011.mp3],,,,,,,,,,,,222.1,N1単語3000_2-3,Additional
378,JLPT_Tango_N1_0223,とりわけ,,particularly,[sound:JLPT_Tango_N1_0223.mp3],魚より肉、とりわけ牛肉が好きだ。,,"I prefer meat to fish, particularly beef ",,,,,,,,X,223,N1単語3000_2-3,Main
379,JLPT_Tango_N1_0224,ひたすら,,earnestly,[sound:JLPT_Tango_N1_0224.mp3],父は食事中、一言ももしゃべらずひたすら食べる。,,My father simply eats without speaking a word during meals ,,,,,,,,X,224,N1単語3000_2-3,Main
380,JLPT_Tango_N1_0225,しなびる,,shrivel,[sound:JLPT_Tango_N1_0225.mp3],サラダの野菜が少ししなびている。,,The vegetables in this salad are a bit wilted ,,,,,,,,X,225,N1単語3000_2-3,Main
381,JLPT_Tango_N1_0226-001,粘る,,sticky/peservere,[sound:JLPT_Tango_N1_0226-001.mp3],1. この納豆はよく粘る。,,① This natto is very sticky,,,,,,,,X,226,N1単語3000_2-3,Main
382,JLPT_Tango_N1_0226-002,粘る,,sticky/peservere,[sound:JLPT_Tango_N1_0226-002.mp3],2. 最後まで粘れば、きっといい結果になる。,,"② If you persevere, you’re bound to get good results ",,,,,,,,X,226,N1単語3000_2-3,Main
383,JLPT_Tango_N1_0226-011,粘り,,sticky,[sound:JLPT_Tango_N1_0226-011.mp3],,,,,,,,,,,,226.1,N1単語3000_2-3,Additional
384,JLPT_Tango_N1_0227-001,膨れる,,expand/pout,[sound:JLPT_Tango_N1_0227-001.mp3],1. 今日は食べ過ぎて、お腹が膨れた。,,"① I ate too much today, so I’m full ",,,,,,,,X,227,N1単語3000_2-3,Main
385,JLPT_Tango_N1_0227-002,膨れる,,expand/pout,[sound:JLPT_Tango_N1_0227-002.mp3],2. 彼女は気に入らないことがあると、すぐに膨れる。,,② She pouts whenever something she doesn’t like happens ,,,,,,,,X,227,N1単語3000_2-3,Main
386,JLPT_Tango_N1_0227-011,むくれる,,become sullen,[sound:JLPT_Tango_N1_0227-011 .mp3],,,,,,,,,,,,227.1,N1単語3000_2-3,Additional
387,JLPT_Tango_N1_0228,偏る,,unbalanced,[sound:JLPT_Tango_N1_0228.mp3],最近、栄養が偏っているので、気をつけないと。,,"My diet is not balanced these days, so I need to be careful",,,,,,,,X,228,N1単語3000_2-3,Main
388,JLPT_Tango_N1_0228-011,偏り,,bias,[sound:JLPT_Tango_N1_0228-011 .mp3],,,,,,,,,,,,228.1,N1単語3000_2-3,Additional
389,JLPT_Tango_N1_0228-012,偏食（する）,,picky eater,[sound:JLPT_Tango_N1_0228-012 .mp3],,,,,,,,,,,,228.2,N1単語3000_2-3,Additional
390,JLPT_Tango_N1_0229,添える,,come with,[sound:JLPT_Tango_N1_0229.mp3],ハンバーグに添えてあるにんじんが好きだ。,,I like the carrots that come with the hamburgers steak,,,,,,,,X,229,N1単語3000_2-3,Main
391,JLPT_Tango_N1_0230,まちまちな,,vary,[sound:JLPT_Tango_N1_0230.mp3],忙しいので、食事の時間はまちまちだ。,,"I’m busy, so the time when I eat vary ",,,,,,,,X,230,N1単語3000_2-3,Main
392,JLPT_Tango_N1_0231,三昧,,full of,[sound:JLPT_Tango_N1_0231.mp3],今日の食事は秋の味覚三味だ。,,Today’s meal is full of autumn delicacies ,,,,,,,,X,231,N1単語3000_2-3,Main
393,JLPT_Tango_N1_0231-011,読書三昧,,being absorbed in reading,[sound:JLPT_Tango_N1_0231-011.mp3],,,,,,,,,,,,231.1,N1単語3000_2-3,Additional
394,JLPT_Tango_N1_0231-012,贅沢三昧,,live in luxury,[sound:JLPT_Tango_N1_0231-012.mp3],,,,,,,,,,,,231.2,N1単語3000_2-3,Additional
395,JLPT_Tango_N1_0231-101,激辛（な）,,extremely hot,[sound:JLPT_Tango_N1_0231-101.mp3],,,,,,,,,,,,231-1,N1単語3000_2-3,Supplement
396,JLPT_Tango_N1_0231-102,激痛,,extremely painful,[sound:JLPT_Tango_N1_0231-102.mp3],,,,,,,,,,,,231-2,N1単語3000_2-3,Supplement
397,JLPT_Tango_N1_0231-103,激務,,hard work,[sound:JLPT_Tango_N1_0231-103.mp3],,,,,,,,,,,,231-3,N1単語3000_2-3,Supplement
398,JLPT_Tango_N1_0231-104,激安（な）,,extremely cheap,[sound:JLPT_Tango_N1_0231-104.mp3],,,,,,,,,,,,231-4,N1単語3000_2-3,Supplement
399,JLPT_Tango_N1_0231-105,激戦,,close game,[sound:JLPT_Tango_N1_0231-105.mp3],,,,,,,,,,,,231-5,N1単語3000_2-3,Supplement
400,JLPT_Tango_N1_0231-106,激増（する）,,rapid increase,[sound:JLPT_Tango_N1_0231-106.mp3],,,,,,,,,,,,231-6,N1単語3000_2-3,Supplement
401,JLPT_Tango_N1_0231-107,激減（する）,,rapid decline,[sound:JLPT_Tango_N1_0231-107.mp3],,,,,,,,,,,,231-7,N1単語3000_2-3,Supplement
402,JLPT_Tango_N1_0231-108,激変（する）,,rapid change,[sound:JLPT_Tango_N1_0231-108.mp3],,,,,,,,,,,,231-8,N1単語3000_2-3,Supplement
403,JLPT_Tango_N1_0231-109,激怒（する）　,,furious,[sound:JLPT_Tango_N1_0231-109.mp3],,,,,,,,,,,,231-9,N1単語3000_2-3,Supplement
404,JLPT_Tango_N1_0231-110,激論（する）,,hot argument,[sound:JLPT_Tango_N1_0231-110.mp3],,,,,,,,,,,,231-10,N1単語3000_2-3,Supplement
405,JLPT_Tango_N1_0232,心掛ける,,bear in mind,[sound:JLPT_Tango_N1_0232.mp3],健康のため、早寝早起きを心掛けている。,,I bear in mind to sleep early and wake up early for my health ,,,,,,,,X,232,N1単語3000_2-4,Main
406,JLPT_Tango_N1_0232-011,留意（する）,,take notice,[sound:JLPT_Tango_N1_0232-011.mp3],,,,,,,,,,,,232.1,N1単語3000_2-4,Additional
407,JLPT_Tango_N1_0232-012,心掛け,,keep in mind,[sound:JLPT_Tango_N1_0232-012.mp3],,,,,,,,,,,,232.2,N1単語3000_2-4,Additional
408,JLPT_Tango_N1_0233,めくる,,"flip, turn over",[sound:JLPT_Tango_N1_0233.mp3],朝起きると、すぐにカレンダーをめくる。,,I turn the page of my calendar when I wake up ,,,,,,,,X,233,N1単語3000_2-4,Main
409,JLPT_Tango_N1_0233-011,日めくり,,daily calendar,[sound:JLPT_Tango_N1_0233-011.mp3],,,,,,,,,,,,233.1,N1単語3000_2-4,Additional
410,JLPT_Tango_N1_0234-001,目覚める,,wake up/come to one’s senses,[sound:JLPT_Tango_N1_0234-001.mp3],1. 平日も休日も6時には目覚める。,,① I wake up at 6:00 am whether its a weekday or a day off.,,,,,,,,X,234,N1単語3000_2-4,Main
411,JLPT_Tango_N1_0234-002,目覚める,,wake up/come to one’s senses,[sound:JLPT_Tango_N1_0234-002.mp3],2. 最近、政治に目覚めた。,,"② Recently, I have gotten into politics ",,,,,,,,X,234,N1単語3000_2-4,Main
412,JLPT_Tango_N1_0235,ストレッチ,,stretch,[sound:JLPT_Tango_N1_0235.mp3],ベッドでストレッチをして、すっきり目覚める。,,I stretch in bed and wake up refreshed ,,,,,,,,X,235,N1単語3000_2-4,Main
413,JLPT_Tango_N1_0235-011,ストレッチ体操,,stretching exercise,[sound:JLPT_Tango_N1_0235-011.mp3],,,,,,,,,,,,235.1,N1単語3000_2-4,Additional
414,JLPT_Tango_N1_0236,剥ぐ・剝ぐ,,tear away,[sound:JLPT_Tango_N1_0236.mp3],毎朝、子どもの布団を剝いで起こす。,,Every morning I tear away the kids blankets to wake them ,,,,,,,,X,236,N1単語3000_2-4,Main
415,JLPT_Tango_N1_0237,愛犬,,pet dog,[sound:JLPT_Tango_N1_0237.mp3],朝食前に愛犬と散歩に出かける。,,I take my dog for a walk before breakfast ,,,,,,,,X,237,N1単語3000_2-4,Main
416,JLPT_Tango_N1_0237-011,愛猫,,pet cat,[sound:JLPT_Tango_N1_0237-011.mp3],,,,,,,,,,,,237.1,N1単語3000_2-4,Additional
417,JLPT_Tango_N1_0237-012,愛犬家,,dog lover,[sound:JLPT_Tango_N1_0237-012.mp3],,,,,,,,,,,,237.2,N1単語3000_2-4,Additional
418,JLPT_Tango_N1_0238,しっぽ,,tall,[sound:JLPT_Tango_N1_0238.mp3],愛犬がしっぽを振って付いてくる。,,My dog wags his tail and follows me ,,,,,,,,X,238,N1単語3000_2-4,Main
419,JLPT_Tango_N1_0238-011,尾,,tail,[sound:JLPT_Tango_N1_0238-011.mp3],,,,,,,,,,,,238.1,N1単語3000_2-4,Additional
420,JLPT_Tango_N1_0239,長続き（する）,,lasting long,[sound:JLPT_Tango_N1_0239.mp3],ダイエットを始めても、なかなか長続きしない。,,I would go on a diet but I rarely lasts long ,,,,,,,,X,239,N1単語3000_2-4,Main
421,JLPT_Tango_N1_0240,三日坊主,,quit easily,[sound:JLPT_Tango_N1_0240.mp3],自分の三日坊主の性格を何とかしたい。,,I want to do something with my habit of giving up easily ,,,,,,,,X,240,N1単語3000_2-4,Main
422,JLPT_Tango_N1_0241,持続,,continue,[sound:JLPT_Tango_N1_0241.mp3],この薬は毎日飲まなければ効果が持続しない。,,The effects of the medicine will not last if it is not taken daily ,,,,,,,,X,241,N1単語3000_2-4,Main
423,JLPT_Tango_N1_0241-011,継続（する）,,continuity,[sound:JLPT_Tango_N1_0241-011 .mp3],,,,,,,,,,,,241.1,N1単語3000_2-4,Additional
424,JLPT_Tango_N1_0242,当番,,in charge of,[sound:JLPT_Tango_N1_0242.mp3],今日のお風呂掃除の当番は妹だ。,,"Today,my little sister is in charge of washing the bathroom",,,,,,,,X,242,N1単語3000_2-4,Main
425,JLPT_Tango_N1_0243,拝む,,pray,[sound:JLPT_Tango_N1_0243.mp3],毎日必ず仏壇に手を合わせて拝んでいる。,,I alwas pray in front of the Buddhist alter every day ,,,,,,,,X,243,N1単語3000_2-4,Main
426,JLPT_Tango_N1_0243-011,仏壇,,Buddhist altar,[sound:JLPT_Tango_N1_0243-011 .mp3],,,,,,,,,,,,243.1,N1単語3000_2-4,Additional
427,JLPT_Tango_N1_0243-012,神棚,,Shinto altar,[sound:JLPT_Tango_N1_0243-012 .mp3],,,,,,,,,,,,243.2,N1単語3000_2-4,Additional
428,JLPT_Tango_N1_0244, ゴールデンウィーク ,,prime time,[sound:JLPT_Tango_N1_0244.mp3],ゴールデンタイムは大好きなドラマを見る。,,I watch my favorite TV  show during prime time ,,,,,,,,X,244,N1単語3000_2-4,Main
429,JLPT_Tango_N1_0245,怠る,,neglect,[sound:JLPT_Tango_N1_0245.mp3],面倒くさくて、掃除を怠ってしまった。,,I was lazy and neglected to clean up,,,,,,,,X,245,N1単語3000_2-4,Main
430,JLPT_Tango_N1_0245-011,怠ける,,be lazy,[sound:JLPT_Tango_N1_0245-011.mp3],,,,,,,,,,,,245.1,N1単語3000_2-4,Additional
431,JLPT_Tango_N1_0246,浸かる,,soak,[sound:JLPT_Tango_N1_0246.mp3],お風呂では必ずお湯に15分浸かるようにしている。,,I always soak in warm water for 15 minutes when taking a bath ,,,,,,,,X,246,N1単語3000_2-4,Main
432,JLPT_Tango_N1_0247,逆立ち（する）,,stand upside down,[sound:JLPT_Tango_N1_0247.mp3],日に１回逆立ちすると、頭がすっきりする。,,Doing handstands once a day makes me feel refreshed ,,,,,,,,X,247,N1単語3000_2-4,Main
433,JLPT_Tango_N1_0247-011,倒立（する）,,standing upside down,[sound:JLPT_Tango_N1_0247-011.mp3],,,,,,,,,,,,247.1,N1単語3000_2-4,Additional
434,JLPT_Tango_N1_0248,乱れる,,be disturbed,[sound:JLPT_Tango_N1_0248.mp3],一日の生活のリズムが乱れないようにする。,,I try not to disturb my daily rhythm ,,,,,,,,X,248,N1単語3000_2-4,Main
435,JLPT_Tango_N1_0248-011,（を）乱す,,disturb,[sound:JLPT_Tango_N1_0248-011.mp3],,,,,,,,,,,,248.1,N1単語3000_2-4,Additional
436,JLPT_Tango_N1_0249,ブログ,,blog,[sound:JLPT_Tango_N1_0249.mp3],その日の出来事をブログにアップする。,,I upload my day’s events to the blog ,,,,,,,,X,249,N1単語3000_2-4,Main
437,JLPT_Tango_N1_0250,投稿（する）,,posting,[sound:JLPT_Tango_N1_0250.mp3],毎日、新聞の投稿欄を読んでいる。,,I read the reader’s column of the newspaper every day,,,,,,,,X,250,N1単語3000_2-4,Main
438,JLPT_Tango_N1_0251-011,投稿欄,,contributor”s column,[sound:JLPT_Tango_N1_0251-011.mp3],,,,,,,,,,,,250.1,N1単語3000_2-4,Additional
439,JLPT_Tango_N1_0251-012,投書（する）,,contribution,[sound:JLPT_Tango_N1_0251-012.mp3],,,,,,,,,,,,250.2,N1単語3000_2-4,Additional
440,JLPT_Tango_N1_0251,取り立てる,,collect,[sound:JLPT_Tango_N1_0251.mp3],取り立てて言うほどの日課はない。,,I don’t have any daily routine worth mentioning ,,,,,,,,X,251,N1単語3000_2-4,Main
441,JLPT_Tango_N1_0252,身の回り,,things around oneself,[sound:JLPT_Tango_N1_0252.mp3],忙しくても、自分の身の回りのことはきちんとやる。,,I take care of myself even when I ‘m busy ,,,,,,,,X,252,N1単語3000_2-4,Main
442,JLPT_Tango_N1_0252-011,身辺,,one's affairs,[sound:JLPT_Tango_N1_0252-011.mp3],,,,,,,,,,,,252.1,N1単語3000_2-4,Additional
443,JLPT_Tango_N1_0253,実践（する）,,practice,[sound:JLPT_Tango_N1_0253.mp3],一度決めたことは、必ず実践するタイプだ。,,I’m the type of person that wil always practice what I decide to do,,,,,,,,X,253,N1単語3000_2-4,Main
444,JLPT_Tango_N1_0253-011,実行（する）,,execute,[sound:JLPT_Tango_N1_0253-011.mp3],,,,,,,,,,,,253.1,N1単語3000_2-4,Additional
445,JLPT_Tango_N1_0254,終日,,all day,[sound:JLPT_Tango_N1_0254.mp3],昨日は終日出かけていた。,,I was out all day yesterday,,,,,,,,X,254,N1単語3000_2-5,Main
446,JLPT_Tango_N1_0254-011,終日営業,,operating all day,[sound:JLPT_Tango_N1_0254-011.mp3],,,,,,,,,,,,254.1,N1単語3000_2-5,Additional
447,JLPT_Tango_N1_0255,四六時中,,all the time,[sound:JLPT_Tango_N1_0255.mp3],漫画が大好きで、四六時中読んでいる。,,I love comics and am always reading them ,,,,,,,,X,255,N1単語3000_2-5,Main
448,JLPT_Tango_N1_0256,日夜,,day and night,[sound:JLPT_Tango_N1_0256.mp3],彼は日夜働き、体を壊した。,,He became sick after working day and night ,,,,,,,,X,256,N1単語3000_2-5,Main
449,JLPT_Tango_N1_0256-011,昼夜,,day and night,[sound:JLPT_Tango_N1_0256-011.mp3],,,,,,,,,,,,256.1,N1単語3000_2-5,Additional
450,JLPT_Tango_N1_0256-012,朝夕,,morning and evening,[sound:JLPT_Tango_N1_0256-012.mp3],,,,,,,,,,,,256.2,N1単語3000_2-5,Additional
451,JLPT_Tango_N1_0257,日々,,daily ,[sound:JLPT_Tango_N1_0257.mp3],平凡だが、日々の暮らしを楽しんでいる。,,"It’s ordinary, but I’m enjoing my everyday life",,,,,,,,X,257,N1単語3000_2-5,Main
452,JLPT_Tango_N1_0258,夕闇,,dusk,[sound:JLPT_Tango_N1_0258.mp3],新幹線の窓から外を見ると、都会のビルに夕闇が迫っていた。,,The dusk of the evening was approaching the city buildings when I looked out the shinkansen window ,,,,,,,,X,258,N1単語3000_2-5,Main
453,JLPT_Tango_N1_0258-011,闇,,darkness,[sound:JLPT_Tango_N1_0258-011.mp3],,,,,,,,,,,,258.1,N1単語3000_2-5,Additional
454,JLPT_Tango_N1_0259,暮れる,,set,[sound:JLPT_Tango_N1_0259.mp3],毎日、日が暮れた頃、ジョギングに出かける。,,"Every day after the sun sets, I go jogging ",,,,,,,,X,259,N1単語3000_2-5,Main
455,JLPT_Tango_N1_0260,日没,,sunset,[sound:JLPT_Tango_N1_0260.mp3],夏が過ぎて、日没の時間が一気に早くなった。,,The sun began to set early after summer ended ,,,,,,,,X,260,N1単語3000_2-5,Main
456,JLPT_Tango_N1_0260-011,日の入り,,sunset,[sound:JLPT_Tango_N1_0260-011.mp3],,,,,,,,,,,,260.1,N1単語3000_2-5,Additional
457,JLPT_Tango_N1_0261,夜分,,"by night, late hour",[sound:JLPT_Tango_N1_0261.mp3],こんな夜分に邪魔して申し訳ありません。,,I’m sorry for intruding at such a late hour ,,,,,,,,X,261,N1単語3000_2-5,Main
458,JLPT_Tango_N1_0262,夜更け,,late at night,[sound:JLPT_Tango_N1_0262.mp3],夜更けまで、よくネットでゲ一ムをしている。,,I often play games on the Internet until late at night ,,,,,,,,X,262,N1単語3000_2-5,Main
459,JLPT_Tango_N1_0262-011,夜半,,late hour,[sound:JLPT_Tango_N1_0262-011.mp3],,,,,,,,,,,,262.1,N1単語3000_2-5,Additional
460,JLPT_Tango_N1_0263,更ける,,get late,[sound:JLPT_Tango_N1_0263.mp3],夜が更けると、この辺りはとても静かになる。,,It’s very quiet around here when it gets late ,,,,,,,,X,263,N1単語3000_2-5,Main
461,JLPT_Tango_N1_0264,未明,,before dawn,[sound:JLPT_Tango_N1_0264.mp3],その事件は今日の未明に起こったようだ。,,The incident seemed to have occurred before down today ,,,,,,,,X,264,N1単語3000_2-5,Main
462,JLPT_Tango_N1_0265,先頃,,the other day,[sound:JLPT_Tango_N1_0265.mp3],先頃は大変お世話になりました。,,Thank you for your help the other day ,,,,,,,,X,265,N1単語3000_2-5,Main
463,JLPT_Tango_N1_0266,時折,,sometimes,[sound:JLPT_Tango_N1_0266.mp3],大学時代の友人が時折訪ねてくる。,,My friend from college days sometimes visits me ,,,,,,,,X,266,N1単語3000_2-5,Main
464,JLPT_Tango_N1_0267,矢先,,just about to do,[sound:JLPT_Tango_N1_0267.mp3],寝ようとした矢先、電話が鳴った。,,The phone rang when I was just about to go to sleep ,,,,,,,,X,267,N1単語3000_2-5,Main
465,JLPT_Tango_N1_0267-011,間際,,just about to,[sound:JLPT_Tango_N1_0267-011.mp3],,,,,,,,,,,,267.1,N1単語3000_2-5,Additional
