Sort Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Alternate,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent
JLPT_Tango_N3_0107,マナー,マナー,manners,[sound:JLPT_Tango_N3_0107.mp3],彼はタバコのマナーを知らない。,彼[かれ]はタバコのマナーを 知[し]らない。,He doesn't have any manners when it comes to smoking.,マナー-manner,,,,,Ch 01 - 人と人との関係,Sect 05 - どんな人？,X
JLPT_Tango_N3_0107-005,礼儀,礼儀[れいぎ],manners,[sound:JLPT_Tango_N3_0107-005.mp3],,,,,,,,same meaning as マナー,Ch 01 - 人と人との関係,Sect 05 - どんな人？,
JLPT_Tango_N3_0108,個人,個人[こじん],individual,[sound:JLPT_Tango_N3_0108.mp3],個人のデータは、あまり教えないほうがいい。,個人[こじん]のデータは、あまり 教[おし]えないほうがいい。,It's best not to give people your personal data.,,,,,,Ch 01 - 人と人との関係,Sect 05 - どんな人？,X
JLPT_Tango_N3_0108-005,個人情報,個人[こじん] 情報[じょうほう],personal information,[sound:JLPT_Tango_N3_0108-005.mp3],,,,,,,,related or similar to 個人,Ch 01 - 人と人との関係,Sect 05 - どんな人？,
JLPT_Tango_N3_0108-006,個人的な,個人[こじん] 的[てき]な,personal,[sound:JLPT_Tango_N3_0108-006.mp3],,,,,,,,related or similar to 個人,Ch 01 - 人と人との関係,Sect 05 - どんな人？,
JLPT_Tango_N3_0109,アドレス,アドレス,mail address,[sound:JLPT_Tango_N3_0109.mp3],アドレスは名刺に書いてある。,アドレスは 名刺[めいし]に 書[か]いてある。,The mail address is written on the business card.,,,,,"For addresses of places where people live, the word 住所[じゅうしょ] is generally used.",Ch 01 - 人と人との関係,Sect 05 - どんな人？,X
JLPT_Tango_N3_0109-005,メールアドレス,メールアドレス,mail address,[sound:JLPT_Tango_N3_0109-005.mp3],,,,,,,,"same meaning as アドレス<div>For addresses of places where people live, the word 住所[じゅうしょ] is generally used.</div>",Ch 01 - 人と人との関係,Sect 05 - どんな人？,
JLPT_Tango_N3_0110,本人,本人[ほんにん],"person in question, said person",[sound:JLPT_Tango_N3_0110.mp3],あなたが本人が、確認させてください。,あなたが 本人[ほんにん]が、 確認[かくにん]させてください。,Please let me confirm that you are the said person.,,,,,,Ch 01 - 人と人との関係,Sect 05 - どんな人？,X
JLPT_Tango_N3_0111,独身,独身[どくしん],single,[sound:JLPT_Tango_N3_0111.mp3],彼は独身だが、結婚したいと言っていた。,彼[かれ]は 独身[どくしん]だが、 結婚[けっこん]したいと 言[い]っていた。,"He is single, but he was saying that he wants to get married.",,,,,,Ch 01 - 人と人との関係,Sect 05 - どんな人？,X
JLPT_Tango_N3_0111-005,既婚,既婚[きこん],married,[sound:JLPT_Tango_N3_0111-005.mp3],,,,,,,,related or similar to 独身,Ch 01 - 人と人との関係,Sect 05 - どんな人？,
JLPT_Tango_N3_0112,主婦,主婦[しゅふ],housewife,[sound:JLPT_Tango_N3_0112.mp3],姉は主婦だが、仕事もしている。,姉[あね]は 主婦[しゅふ]だが、 仕事[しごと]もしている。,"My older sister is a housewife, but she also has a job.",,,,,,Ch 01 - 人と人との関係,Sect 05 - どんな人？,X
JLPT_Tango_N3_0112-005,専業主婦,専業[せんぎょう] 主婦[しゅふ],"stay-at-home wife, full-time housewife",[sound:JLPT_Tango_N3_0112-005.mp3],,,,専業,,,,related or similar to 主婦,Ch 01 - 人と人との関係,Sect 05 - どんな人？,
JLPT_Tango_N3_0113,フリーター,フリーター,"freeter, part-time jobber",[sound:JLPT_Tango_N3_0113.mp3],弟は大学を卒業してからずっとフリーターだ。,弟[おとうと]は 大学[だいがく]を 卒業[そつぎょう]してからずっとフリーターだ。,My younger brother has been a freeter ever since he graduated from college.,,,,,,Ch 01 - 人と人との関係,Sect 05 - どんな人？,X
JLPT_Tango_N3_0114,無職,無職[むしょく],unemployed,[sound:JLPT_Tango_N3_0114.mp3],今は無職だが、来月から働く。,今[いま]は 無職[むしょく]だが、 来月[らいげつ]から 働[はたら]く。,"I'm unemployed now, but I'll be working starting next month.",,,,,,Ch 01 - 人と人との関係,Sect 05 - どんな人？,X
JLPT_Tango_N3_0115,本日,本日[ほんじつ],"today, this day",[sound:JLPT_Tango_N3_0115.mp3],本日は忙しいところ、ありがとうございます。,本日[ほんじつ]は 忙[いそが]しいところ、ありがとうございます。,Thank you for taking time out of your busy schedule today.,,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0115-005,今日,今日[きょう],"today, this day",[sound:JLPT_Tango_N3_0115-005.mp3],,,,,,,,same meaning as 本日,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0116,明日,明日[あす],tomorrow,[sound:JLPT_Tango_N3_0116.mp3],明日の3時に、そちらにうかがいます。,明日[あす]の 3 時[じ]に、そちらにうかがいます。,I will visit you tomorrow at 3:00.,,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0117,前日,前日[ぜんじつ],"the day before, the previous day",[sound:JLPT_Tango_N3_0117.mp3],会議の前日に準備をする。,会議[かいぎ]の 前日[ぜんじつ]に 準備[じゅんび]をする。,I will make preparations the day before the morning.,,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0118,翌日,翌日[よくじつ],"the next day, the following day",[sound:JLPT_Tango_N3_0118.mp3],誕生日の翌日に、韓国に出張した。,誕生[たんじょう] 日[び]の 翌日[よくじつ]に、 韓国[かんこく]に 出張[しゅっちょう]した。,"The day after my birthday, I went on a business trip to Korea.",,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0118-005,翌年,翌年[よくとし/ねん],"the next year, the following year",[sound:JLPT_Tango_N3_0118-005.mp3],,,,,,,,related or similar to 翌日,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0118-006,翌月,翌月[よくげつ],"the next month, the following month",[sound:JLPT_Tango_N3_0118-006.mp3],,,,,,,,related or similar to 翌日,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0118-007,翌週,翌週[よくしゅう],"the next week, the following week",[sound:JLPT_Tango_N3_0118-007.mp3],,,,,,,,related or similar to 翌日,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0119,しあさって,しあさって,three days' time (two days after tomorrow),[sound:JLPT_Tango_N3_0119.mp3],私の誕生日は、しあさってだ。,私[わたし]の 誕生[たんじょう] 日[び]は、しあさってだ。,My birthday is in three days.,明々後日,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0120,先おととい,先[さき]おととい,three days ago,[sound:JLPT_Tango_N3_0120.mp3],先おととい、高校のクラス会があった。,先[さき]おととい、 高校[こうこう]のクラス 会[かい]があった。,We had a high school reunion three days ago.,,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0121,昨日,昨日[さくじつ],yesterday,[sound:JLPT_Tango_N3_0121.mp3],昨日は、いろいろとお世話になりました。,昨日[さくじつ]は、いろいろとお 世話[せわ]になりました。,Thenk you for everything you did yesterday.,,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0121-005,一昨日,一昨日[いっさくじつ],the day before yesterday,[sound:JLPT_Tango_N3_0121-005.mp3],,,,,,,,related or similar to 昨日,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0121-006,おととい,おととい,the day before yesterday,[sound:JLPT_Tango_N3_0121-006.mp3],,,,,,,,related or similar to 昨日,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0122,昨年,昨年[さくねん],last year,[sound:JLPT_Tango_N3_0122.mp3],昨年の５月に日本にまいりました。,昨年[さくねん]の ５月[ごがつ]に 日本[にほん]にまいりました。,I came to Japan in May of last year.,,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0122-005,一昨年,一昨年[いっさくねん],"the year before last, two years ago",[sound:JLPT_Tango_N3_0122-005.mp3],,,,,,,,related or similar to 昨年,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0122-006,おととし,おととし,"the year before last, two years ago",[sound:JLPT_Tango_N3_0122-006.mp3],,,,,,,,related or similar to 昨年,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0123,先日,先日[せんじつ],"yesterday, the other day",[sound:JLPT_Tango_N3_0123.mp3],A「先日は、どうもありがとうございました。」<div>B「こちらこそ、どうも。」</div>,A「 先日[せんじつ]は、どうもありがとうございました。」<div>B「こちらこそ、どうも。」</div>,"A: Thank you for the other day.<div>B: No, thank you.</div>",,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0124,再来週,再来週[さらいしゅう],the week after next,[sound:JLPT_Tango_N3_0124.mp3],再来週は仕事があ忙しくなりそうだ。,再来週[さらいしゅう]は 仕事[しごと]があ 忙[いそが]しくなりそうだ。,It looks like I'm going to get busy at work the week after next.,,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0124-005,再来年,再来年[さらいねん],the year after next,[sound:JLPT_Tango_N3_0124-005.mp3],,,,,,,,related or similar to 再来週,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0124-006,再来月,再来月[さらいげつ],the month after next,[sound:JLPT_Tango_N3_0124-006.mp3],,,,,,,,related or similar to 再来週,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0125,先々週,先々[せんせん] 週[しゅう],two weeks ago,[sound:JLPT_Tango_N3_0125.mp3],先々週の試験が、今日やっと返ってきた。,先々[せんせん] 週[しゅう]の 試験[しけん]が、 今日[きょう]やっと 返[かえ]ってきた。,The test from two weeks ago was finally returned today.,,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0125-005,先々月,先々[せんせん] 月[げつ],two month ago,[sound:JLPT_Tango_N3_0125-005.mp3],,,,,,,,related or similar to 先々週,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0126,上旬,上旬[じょうじゅん],"the beginning of a month, the first 10 days of a month",[sound:JLPT_Tango_N3_0126.mp3],来月の上旬、タイに旅行に行きます。,来月[らいげつ]の 上旬[じょうじゅん]、タイに 旅行[りょこう]に 行[い]きます。,I'm going to Thailand at the beginning of next month.,,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0126-005,初旬,初旬[しょじゅん],the beginning,[sound:JLPT_Tango_N3_0126-005.mp3],,,,,,,,related or similar to 上旬,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0127,中旬,中旬[ちゅうじゅん],"the middle of a month, the middle 10 days of a month",[sound:JLPT_Tango_N3_0127.mp3],今月の中旬までにレポートを出してください。,今月[こんげつ]の 中旬[ちゅうじゅん]までにレポートを 出[だ]してください。,Please submit the report by the middle of this month.,,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0128,下旬,下旬[げじゅん],"later part of the month, last 10 (or 11) days in a month",[sound:JLPT_Tango_N3_0128.mp3],毎月下旬になると、給料が楽しみだ。,毎月[まいつき] 下旬[げじゅん]になると、 給料[きゅうりょう]が 楽[たの]しみだ。,"Toward the end of every month, I look forward to getting my salary.",,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0129,深夜,深夜[しんや],late night,[sound:JLPT_Tango_N3_0129.mp3],深夜になると、大きいな声が聞こえる。,深夜[しんや]になると、 大[おお]きいな 声[こえ]が 聞[き]こえる。,"When it gets late at night, I can hear a loud voice (coming from somewhere).",,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0129-005,深夜番組,深夜[しんや] 番組[ばんぐみ],late-night show,[sound:JLPT_Tango_N3_0129-005.mp3],,,,,,,,related or similar to 深夜,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0129-006,真夜中,真夜中[まよなか],late night,[sound:JLPT_Tango_N3_0129-006.mp3],,,,,,,,same meaning as 深夜,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0130,未来,未来[みらい],future,[sound:JLPT_Tango_N3_0130.mp3],子どもたちの明るい未来を考えよう。,子[こ]どもたちの 明[あか]るい 未来[みらい]を 考[かんが]えよう。,Let's think about a bright future for the chlidren.,,,,,"将来 is used for one's individual near-future events, while 未来 is used on a broader scale for things like world events.",Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0130-005,将来,将来[しょうらい],future,[sound:JLPT_Tango_N3_0130-005.mp3],,,,,,,,"related or similar to 未来<div>将来 is used for one's individual near-future events, while 未来 is used on a broader scale for things like world events.</div>",Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0131,数日,数[すう] 日[じつ],several days,[sound:JLPT_Tango_N3_0131.mp3],土曜日から数日は、天気がわるいそうだ。,土曜日[どようび]から 数[すう] 日[じつ]は、 天気[てんき]がわるいそうだ。,"Starting Sunday, the weather is going to be bad for a few days.",,,,,"Used when specific numbers or amounts are unknown, or to express that there is a relatively little amount",Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0131-005,数回,数[すう] 回[かい],several times,[sound:JLPT_Tango_N3_0131-005.mp3],,,,,,,,"related or similar to 数日<div>Used when specific numbers or amounts are unknown, or to express that there is a relatively little amount</div>",Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0131-006,数年,数[すう] 年[ねん],several years,[sound:JLPT_Tango_N3_0131-006.mp3],,,,,,,,"related or similar to 数日<div>Used when specific numbers or amounts are unknown, or to express that there is a relatively little amount</div>",Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0131-007,数か月,数[すう]か 月[げつ],several months,[sound:JLPT_Tango_N3_0131-007.mp3],,,,,,,,"related or similar to 数日<div>Used when specific numbers or amounts are unknown, or to express that there is a relatively little amount</div>",Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0132,以降,以降[いこう],"hereafter, thereafter",[sound:JLPT_Tango_N3_0132.mp3],大地震以降、水を買っておくようになった。,大[だい] 地震[じしん] 以降[いこう]、 水[みず]を 買[か]っておくようになった。,"Since the big earthquake, I make sure to buy water.",,,,,,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,X
JLPT_Tango_N3_0132-005,以前,以前[いぜん],"before, prior",[sound:JLPT_Tango_N3_0132-005.mp3],,,,,,,,related or similar to 以降,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0132-006,以来,以来[いらい],"since, henceforth",[sound:JLPT_Tango_N3_0132-006.mp3],,,,,,,,related or similar to 以降,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0132-007,以後,以後[いご],"after, since",[sound:JLPT_Tango_N3_0132-007.mp3],,,,,,,,related or similar to 以降,Ch 02 - 毎日の暮らし①,Sect 01 - 時の表現,
JLPT_Tango_N3_0133,朝食,朝食[ちょうしょく],breakfast,[sound:JLPT_Tango_N3_0133.mp3],忙しくて、朝食は食べたほうがいい。,忙[いそが]しくて、 朝食[ちょうしょく]は 食[た]べたほうがいい。,"Even if you're busy, you should eat breakfast.",,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0133-005,朝ごはん,朝[あさ]ごはん,breakfast,[sound:JLPT_Tango_N3_0133-005.mp3],,,,朝御飯,,,,same meaning as 朝食,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,
JLPT_Tango_N3_0134,モーニング,モーニング,morning,[sound:JLPT_Tango_N3_0134.mp3],あの店のモーニングセットは、安くておいしい。,あの 店[みせ]のモーニングセットは、 安[やす]くておいしい。,That restaurant's morning set meal is inexpensive and delicious.,モーニング-morning,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0135,昼食,昼食[ちゅうしょく],lunch,[sound:JLPT_Tango_N3_0135.mp3],忙しいので、昼食はいつもサンドイッチです。,忙[いそが]しいので、 昼食[ちゅうしょく]はいつもサンドイッチです。,"I'm busy, so I always have a sandwich for lunch.",,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0135-005,【お】昼ごはん,【お】 昼[ひる]ごはん,lunch,[sound:JLPT_Tango_N3_0135-005.mp3],,,,昼御飯,,,,same meaning as 昼食,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,
JLPT_Tango_N3_0136,ランチ,ランチ,lunch,[sound:JLPT_Tango_N3_0136.mp3],ここのランチメニューは、おいしそうだ。,ここのランチメニューは、おいしそうだ。,The lunch menu here looks delicious.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0137,夕食,夕食[ゆうしょく],"dinner, evening meal",[sound:JLPT_Tango_N3_0137.mp3],今日は夕食は、ちょっと遅くなりました。,今日[きょう]は 夕食[ゆうしょく]は、ちょっと 遅[おそ]くなりました。,It seems that tonight's dinner is going to be a little late.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0137-005,晩ごはん,晩[ばん]ごはん,"dinner, evening meal",[sound:JLPT_Tango_N3_0137-005.mp3],,,,晩御飯,,,,same meaning as 夕食,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,
JLPT_Tango_N3_0138,ディナー,ディナー,dinner,[sound:JLPT_Tango_N3_0138.mp3],昨日のディナーは高級レストランで食べた。,昨日[きのう]のディナーは 高級[こうきゅう]レストランで 食[た]べた。,"Yesterday, I ate dinner at a high-class restaurant.",ディナー-dinner,,,,ディナー　connotes a fancy or high-class meal.,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0139,デザート,デザート,dessert,[sound:JLPT_Tango_N3_0139.mp3],あなたがいっぱいだが、デザートは食べられる。,あなたがいっぱいだが、デザートは 食[た]べられる。,"I'm full, but I can eat dessert.",デザート-dessert,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0140,おやつ,おやつ,snack,[sound:JLPT_Tango_N3_0140.mp3],もうすぐ３時、おやつの時間ですよ。,もうすぐ３ 時[じ]、おやつの 時間[じかん]ですよ。,"It's almost 3:00, tea time.",御八つ,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0141,おかず,おかず,side dish,[sound:JLPT_Tango_N3_0141.mp3],毎日のおかずを考えるのは大変だ。,毎日[まいにち]のおかずを 考[かんが]えるのは 大変[たいへん]だ。,It's hard work to think of side dishes everyday.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0142,【お】弁当,【お】 弁当[べんとう],"bento, boxed lunch",[sound:JLPT_Tango_N3_0142.mp3],毎日、会社に弁当を持って行く。,毎日[まいにち]、 会社[かいしゃ]に 弁当[べんとう]を 持[も]って 行[い]く。,I take a boxed lunch to work every day.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0143,自炊＜する＞,自炊[じすい]＜する＞,"doing one's own cooking, cooking for oneself",[sound:JLPT_Tango_N3_0143.mp3],日本に来てから、自炊を始めた。,日本[にほん]に 来[き]てから、 自炊[じすい]を 始[はじ]めた。,"After coming to Japan, I started cooking for myself.",,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0144,外食＜する＞,外食[がいしょく]＜する＞,eating out,[sound:JLPT_Tango_N3_0144.mp3],週末は外食することがある。,週末[しゅうまつ]は 外食[がいしょく]することがある。,I sometimes eat out on the weekends.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0145,グルメ,グルメ,"foodie, food epicure",[sound:JLPT_Tango_N3_0145.mp3],彼はグルメで、いろいろな店を知っている。,彼[かれ]はグルメで、いろいろな 店[みせ]を 知[し]っている。,"He's a foodie, so he knows many restaurants.",グルメ-gourmet,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0146,おごる,おごる,to treat (someone to a meal),[sound:JLPT_Tango_N3_0146.mp3],ボーナスをもらったので、妹にディナーをおごった。,ボーナスをもらったので、 妹[いもうと]にディナーをおごった。,"I got my bonus, so I treated my younger sister to dinner.",驕る,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0146-005,おごり,おごり,treating to a meal,[sound:JLPT_Tango_N3_0146-005.mp3],,,,驕り,,,,related or similar to おごる,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,
JLPT_Tango_N3_0146-006,ごちそうする,ごちそうする,to treat (someone to a meal),[sound:JLPT_Tango_N3_0146-006.mp3],,,,,,,,same meaning as おごる,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,
JLPT_Tango_N3_0147,食欲,食欲[しょくよく],appetite,[sound:JLPT_Tango_N3_0147.mp3],最近、あまり食欲がない。,最近[さいきん]、あまり 食欲[しょくよく]がない。,I haven't had much of an appetite lately.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0148,注文＜する＞,注文[ちゅうもん]＜する＞,order,[sound:JLPT_Tango_N3_0148.mp3],先に飲み物を注文しましょう。,先[さき]に 飲み物[のみもの]を 注文[ちゅうもん]しましょう。,Let's order drinks first.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0149,乾杯＜する＞,乾杯[かんぱい]＜する＞,"toast, cheers",[sound:JLPT_Tango_N3_0149.mp3],ワインで乾杯しましょう。,ワインで 乾杯[かんぱい]しましょう。,Let's toast with wine.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0150,かむ,かむ,"to bite, to chew",[sound:JLPT_Tango_N3_0150.mp3],食事のときは、よくかみましょう。,食事[しょくじ]のときは、よくかみましょう。,Be sure to chew your food well when eating.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0151,味わう,味[あじ]わう,to taste,[sound:JLPT_Tango_N3_0151.mp3],おいしい料理は、よく味わって食べよう。,おいしい 料理[りょうり]は、よく 味[あじ]わって 食[た]べよう。,Let's fully enjoy the flavor when we eat delicious food.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0152,お代わり＜する＞,お 代[か]わり＜する＞,refill,[sound:JLPT_Tango_N3_0152.mp3],みそ汁がおいしくて、お代わりした。,みそ 汁[じる]がおいしくて、お 代[か]わりした。,"The miso soup was so good, I got a refill.",,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0153,残す,残[のこ]す,"to leave (behind, over)",[sound:JLPT_Tango_N3_0153.mp3],ごはんが多すぎて、少し残した。,ごはんが 多[おお]すぎて、 少[すこ]し 残[のこ]した。,"There was too much rice, so I left some on the plate.",,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0154,残り物,残り物[のこりもの],"leftovers, remains",[sound:JLPT_Tango_N3_0154.mp3],今日の残り物は、明日食べよう。,今日[きょう]の 残り物[のこりもの]は、 明日[あした] 食[た]べよう。,Let's eat today's leftovers tomorrow.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0155,もったいない,もったいない,waste,[sound:JLPT_Tango_N3_0155.mp3],食べ物を残すなんで、もったいない。,食べ物[たべもの]を 残[のこ]すなんで、もったいない。,Leaving food on your plate is such a waste.,勿体,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0156,済ませる,済[す]ませる,"to finish, to get through",[sound:JLPT_Tango_N3_0156.mp3],今日の昼ごはんはコンビニ弁当で済ませた。,今日[きょう]の 昼[ひる]ごはんはコンビニ 弁当[べんとう]で 済[す]ませた。,"For lunch, I made do with a boxed lunch from a convenience store.",,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0156-005,済ます,済[す]ます,"to finish, to get through",[sound:JLPT_Tango_N3_0156-005.mp3],,,,,,,,same meaning as 済ませる,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,
JLPT_Tango_N3_0157-001,済む,済[す]む,"to finish, to be brought to an end",[sound:JLPT_Tango_N3_0157-001.mp3],①　もう晩ごはんの準備は済んだ。,①　もう 晩[ばん]ごはんの 準備[じゅんび]は 済[す]んだ。,①　I've already finished preparing dinner.,,,,,① to end ,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0157-002,済む,済[す]む,"to finish, to be brought to an end",[sound:JLPT_Tango_N3_0157-002.mp3],②　弁当を作れば、安く済む。,②　弁当[べんとう]を 作[つく]れば、 安[やす]く 済[す]む。,②　It would be cheaper to make your own boxed lunch.,,,,,"② to be sufficient, to make do",Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0158,量,量[りょう],"amount, portion",[sound:JLPT_Tango_N3_0158.mp3],あの店のスパゲッティは、量が少ない。,あの 店[みせ]のスパゲッティは、 量[りょう]が 少[すく]ない。,The portions of spaghetti at this restaurant are small.,,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0159,バランス,バランス,balance,[sound:JLPT_Tango_N3_0159.mp3],食事は、肉と野菜のバランスが大切だ。,食事[しょくじ]は、 肉[にく]と 野菜[やさい]のバランスが 大切[たいせつ]だ。,It's important to have a good balance of meat and vegetables in your meals.,バランス-balance,,,,,Ch 02 - 毎日の暮らし①,Sect 02 - 食生活,X
JLPT_Tango_N3_0160,なべ,なべ,pot,[sound:JLPT_Tango_N3_0160.mp3],スーパーで、大きいななべを買った。,スーパーで、 大[おお]きいななべを 買[か]った。,I bought a large pot at the supermarket.,,,,,,Ch 02 - 毎日の暮らし①,Sect 03 - 料理の道具と材料,X
JLPT_Tango_N3_0161,フライパン,フライパン,frying pan,[sound:JLPT_Tango_N3_0161.mp3],フライパンで、オムレツを作った。,フライパンで、オムレツを 作[つく]った。,I made an omelet with a frying pan.,,,,,,Ch 02 - 毎日の暮らし①,Sect 03 - 料理の道具と材料,X
JLPT_Tango_N3_0162,包丁,包丁[ほうちょう],kitchen knife,[sound:JLPT_Tango_N3_0162.mp3],私の家には包丁が１本しかない。,私[わたし]の 家[いえ]には 包丁[ほうちょう]が１本[いっぽん]しかない。,"At my house, I only have one kitchen knife.",,,,,,Ch 02 - 毎日の暮らし①,Sect 03 - 料理の道具と材料,X
JLPT_Tango_N3_0163,まな板,まな 板[いた],cutting board,[sound:JLPT_Tango_N3_0163.mp3],うちのまな板は、木でできている。,うちのまな 板[いた]は、 木[き]でできている。,My cutting board is made of wood.,俎板,,,,,Ch 02 - 毎日の暮らし①,Sect 03 - 料理の道具と材料,X
