Tango Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Alternate,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent,Chap Sort,Tag
JLPT_Tango_N2_0427-005,配付する,配付[はいふ]する,Hand Out,[sound:JLPT_Tango_N2_0427-005.mp3],,,,,,,,Related to 配布(する),Ch 04 - 町,Sect 02 - 役所,,19.1,Additional
JLPT_Tango_N2_0428,処理(する),処理[しょり](する),Manage,[sound:JLPT_Tango_N2_0428.mp3],自治体がこの地域のごみを処理している。,自治[じち]体[たい]がこの地域[ちいき]のごみを処理[しょり]している。,The municipality handles this area's garbage.,,1,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 02 - 役所,X,20,Sentence
JLPT_Tango_N2_0429,需要,需要[じゅよう],Demand,[sound:JLPT_Tango_N2_0429.mp3],自治体は老人ホームの需要に応えられない。,自治[じち]体[たい]は老人[ろうじん]ホームの需要[じゅよう]に応[こた]えられない。,The municipality cannot respond to the demand for nursing homes.,,0,"漢, 名詞, 普通名詞, 一般, *",,,Ch 04 - 町,Sect 02 - 役所,X,21,Sentence
JLPT_Tango_N2_0430,提供(する),提供[ていきょう](する),Provide,[sound:JLPT_Tango_N2_0430.mp3],役所は生活に必要な情報を提供している。,役所[やくしょ]は生活[せいかつ]に必要[ひつよう]な情報[じょうほう]を提供[ていきょう]している。,The city office provides information necessary for living here.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 02 - 役所,X,22,Sentence
JLPT_Tango_N2_0431,用途,用途[ようと],Usage,[sound:JLPT_Tango_N2_0431.mp3],役所では用途のわからない支出は認められない。,役所[やくしょ]では用途[ようと]のわからない支出[ししゅつ]は認[みと]められない。,The city office does not acknowledge expenses whose usage is unclear.,,1,"漢, 名詞, 普通名詞, 一般, *",,,Ch 04 - 町,Sect 02 - 役所,X,23,Sentence
JLPT_Tango_N2_0431-101,新学期,新[しん]学期[がっき],New School Term,[sound:JLPT_Tango_N2_0431-101.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！12 - 接辞：とき：新～,,,Remember
JLPT_Tango_N2_0431-102,新入学,新入[しんにゅう]学[がく],Entrance into a New School,[sound:JLPT_Tango_N2_0431-102.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！12 - 接辞：とき：新～,,,Remember
JLPT_Tango_N2_0431-103,新入生,新入[しんにゅう]生[せい],New Students,[sound:JLPT_Tango_N2_0431-103.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！12 - 接辞：とき：新～,,,Remember
JLPT_Tango_N2_0431-104,新体制,新[しん]体制[たいせい],New System,[sound:JLPT_Tango_N2_0431-104.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！12 - 接辞：とき：新～,,,Remember
JLPT_Tango_N2_0431-105,新記録,新[しん]記録[きろく],New Record,[sound:JLPT_Tango_N2_0431-105.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！12 - 接辞：とき：新～,,,Remember
JLPT_Tango_N2_0431-106,新世界,新[しん]世界[せかい],New World,[sound:JLPT_Tango_N2_0431-106.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！12 - 接辞：とき：新～,,,Remember
JLPT_Tango_N2_0431-107,新体操,新[しん]体操[たいそう],Rythmic Gymnastics,[sound:JLPT_Tango_N2_0431-107.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！12 - 接辞：とき：新～,,,Remember
JLPT_Tango_N2_0431-108,新天地,新[しん]天地[てんち],"New World,　New Field of Activity",[sound:JLPT_Tango_N2_0431-108.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！12 - 接辞：とき：新～,,,Remember
JLPT_Tango_N2_0431-109,新生児,新生[しんせい]児[じ],Newborn,[sound:JLPT_Tango_N2_0431-109.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！12 - 接辞：とき：新～,,,Remember
JLPT_Tango_N2_0432,故郷,故郷[こきょう],Hometown,[sound:JLPT_Tango_N2_0432.mp3],故郷の母から荷物が届いた。,故郷[こきょう]の母[はは]から荷物[にもつ]が届[とど]いた。,A package from my mother back home arrived.,,1,"漢, 名詞, 普通名詞, 一般, *",,,Ch 04 - 町,Sect 03 - ふるさと,X,1,Sentence
JLPT_Tango_N2_0433-001,地元,地元[じもと],Hometown / Local Area,[sound:JLPT_Tango_N2_0433-001.mp3],① 帰省して、地元の友達と会うのが楽しみだ。,① 帰省[きせい]して、地元[じもと]の友達[ともだち]と会[あ]うのが楽[たの]しみだ。,① I am looking forward to going back home and meeting my friends from my hometown.,,"0,3","混, 名詞, 普通名詞, 一般, *",,① A place one is affiliated with,Ch 04 - 町,Sect 03 - ふるさと,X,2,Sentence
JLPT_Tango_N2_0433-002,地元,地元[じもと],Hometown / Local Area,[sound:JLPT_Tango_N2_0433-002.mp3],② 食料品は地元のスーパーで買う。,② 食料[しょくりょう]品[ひん]は地元[じもと]のスーパーで買[か]う。,② I purchased food from the local suparmarket.,,"0,3","混, 名詞, 普通名詞, 一般, *",,② A place where one is living,Ch 04 - 町,Sect 03 - ふるさと,X,3,Sentence
JLPT_Tango_N2_0434-001,離れる,離[はな]れる,Leave / Far Apart,[sound:JLPT_Tango_N2_0434-001.mp3],① ふるさとを離れて、もう１０年になる。,① ふるさとを離[はな]れて、もう１０年[ねん]になる。,① It's been 10 years since I left my hometown.,,3,"和, 動詞, 一般, *, 下一段-ラ行",,① Moving from one place to another that is far away,Ch 04 - 町,Sect 03 - ふるさと,X,4,Sentence
JLPT_Tango_N2_0434-002,離れる,離[はな]れる,Leave / Far Apart,[sound:JLPT_Tango_N2_0434-002.mp3],② 駅と商店街は、かなり離れている。,② 駅[えき]と商店[しょうてん]街[がい]は、かなり離[はな]れている。,② The station and the shopping street is quiete far apart.,,3,"和, 動詞, 一般, *, 下一段-ラ行",,② Having space or an opening in between,Ch 04 - 町,Sect 03 - ふるさと,X,5,Sentence
JLPT_Tango_N2_0435-001,つかむ,つかむ,Grasp / Grab,[sound:JLPT_Tango_N2_0435-001.mp3],① 日本でチャンスをつかんで、親に家を買いたい。,① 日本[にっぽん]でチャンスをつかんで、親[おや]に家[いえ]を買[か]いたい。,① I want to succeed in Japan and buy a house for my parents.,掴む,2,"和, 動詞, 一般, *, 五段-マ行",,① To make something one's possession completely,Ch 04 - 町,Sect 03 - ふるさと,X,6,Sentence
JLPT_Tango_N2_0435-002,つかむ,つかむ,Grasp / Grab,[sound:JLPT_Tango_N2_0435-002.mp3],② バスで隣にいた赤ちゃんが、私の腕をつかんだ。,② バスで隣[となり]にいた赤[あか]ちゃんが、私[わたし]の腕[うで]をつかんだ。,② The baby next to me on the bus grabbed my arm.,掴む,2,"和, 動詞, 一般, *, 五段-マ行",,② Hold in the hand firmly,Ch 04 - 町,Sect 03 - ふるさと,X,7,Sentence
JLPT_Tango_N2_0436,帰省(する),帰省[きせい](する),Returning Home,[sound:JLPT_Tango_N2_0436.mp3],夏休みと年末の年２回は帰省する。,夏休[なつやす]みと年末[ねんまつ]の年[とし]２回[かい]は帰省[きせい]する。,"I return to my hometown twice a year, during summer vation and at the end of the year.",,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 03 - ふるさと,X,8,Sentence
JLPT_Tango_N2_0437-001,アクセス(する),アクセス(する),Access,[sound:JLPT_Tango_N2_0437-001.mp3],① この地域は東京からのアクセスが悪い。,① この地域[ちいき]は東京[とうきょう]からのアクセスが悪[わる]い。,① Access to Tokyo from this area is not convenient.,アクセス-access,1,"外, 名詞, 普通名詞, サ変可能, *",,① Going to one's destination using one form of transportation,Ch 04 - 町,Sect 03 - ふるさと,X,9,Sentence
JLPT_Tango_N2_0437-002,アクセス(する),アクセス(する),Access,[sound:JLPT_Tango_N2_0437-002.mp3],② 市のホームページにアクセスする。,② 市[し]のホームページにアクセスする。,② Access the city's webpage.,アクセス-access,1,"外, 名詞, 普通名詞, サ変可能, *",,② Connecting to the internet,Ch 04 - 町,Sect 03 - ふるさと,X,10,Sentence
JLPT_Tango_N2_0438,改善(する),改善[かいぜん](する),Improvement,[sound:JLPT_Tango_N2_0438.mp3],子どもやお年寄りのために、町の交通が改善された。,子[こ]どもやお年寄[としよ]りのために、町[まち]の交通[こうつう]が改善[かいぜん]された。,The city traffic has been improved for the children and elderly.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 03 - ふるさと,X,11,Sentence
JLPT_Tango_N2_0438-005,改良(する),改良[かいりょう](する),Improvement,[sound:JLPT_Tango_N2_0438-005.mp3],,,,,0,"漢, 名詞, 普通名詞, サ変可能, *",,Related to 改善(する),Ch 04 - 町,Sect 03 - ふるさと,,11.1,Additional
JLPT_Tango_N2_0439,行事,行事[ぎょうじ],Event,[sound:JLPT_Tango_N2_0439.mp3],私の国には、いろいろな行事がある。,私[わたし]の国[くに]には、いろいろな行事[ぎょうじ]がある。,There are many events in my country.,,"0,1,3","漢, 名詞, 普通名詞, 一般, *",,,Ch 04 - 町,Sect 03 - ふるさと,X,12,Sentence
JLPT_Tango_N2_0440,はるか(な),はるか(な),Distant/Far Away,[sound:JLPT_Tango_N2_0440.mp3],この地方の祭りははるか昔から続いている。,この地方[ちほう]の祭[まつ]りははるか昔[むかし]から続[つづ]いている。,This local festival has been continuously held since ancient times.,ハルカ,1,"固, 名詞, 固有名詞, 人名, *",,,Ch 04 - 町,Sect 03 - ふるさと,X,13,Sentence
JLPT_Tango_N2_0441,誇り,誇[ほこ]り,Pride,[sound:JLPT_Tango_N2_0441.mp3],自分のふるさとを誇りに思っている。,自分[じぶん]のふるさとを誇[ほこ]りに思[おも]っている。,I am proud of my hometown.,,"0,3","和, 名詞, 普通名詞, 一般, *",,,Ch 04 - 町,Sect 03 - ふるさと,X,14,Sentence
JLPT_Tango_N2_0441-005,誇る,誇[ほこ]る,Proud,[sound:JLPT_Tango_N2_0441-005.mp3],,,,,2,"和, 動詞, 一般, *, 五段-ラ行",,Related to 誇り,Ch 04 - 町,Sect 03 - ふるさと,,14.1,Additional
JLPT_Tango_N2_0442,載る,載[の]る,"Run, Be Posted In/On Something",[sound:JLPT_Tango_N2_0442.mp3],新聞に私の国の記事が載っていて、うれしかった。,新聞[しんぶん]に私[わたし]の国[くに]の記事[きじ]が載[の]っていて、うれしかった。,I was happy to see an article about my country in the newspaper.,乗る,0,"和, 動詞, 一般, *, 五段-ラ行",,,Ch 04 - 町,Sect 03 - ふるさと,X,15,Sentence
JLPT_Tango_N2_0442-005,(～を)載せる,(～を)載[の]せる,Run,[sound:JLPT_Tango_N2_0442-005.mp3],,,,乗せる,0,"和, 動詞, 一般, *, 下一段-サ行",,Related to 載る,Ch 04 - 町,Sect 03 - ふるさと,,15.1,Additional
JLPT_Tango_N2_0443,宣伝(する),宣伝[せんでん](する),Advertisement,[sound:JLPT_Tango_N2_0443.mp3],ふるさとの良さを、もっと宣伝したい。,ふるさとの良[よ]さを、もっと宣伝[せんでん]したい。,I want to advertise the good things about my hometown more.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 03 - ふるさと,X,16,Sentence
JLPT_Tango_N2_0444,作成(する),作成[さくせい](する),"Draft, Making",[sound:JLPT_Tango_N2_0444.mp3],国の文化を紹介するポスターを作成した。,国[くに]の文化[ぶんか]を紹介[しょうかい]するポスターを作成[さくせい]した。,A poster introducing the country's culture was drafted.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 03 - ふるさと,X,17,Sentence
JLPT_Tango_N2_0445,見慣れる,見[み]慣[な]れる,"Be Familiar With, Get Used To Seeing",[sound:JLPT_Tango_N2_0445.mp3],国に帰ると、見慣れた景色が変わっていた。,国[くに]に帰[かえ]ると、見[み]慣[な]れた景色[けしき]が変[か]わっていた。,"When I returned to my home country, the familiar scenery had all changed.",,,,,,Ch 04 - 町,Sect 03 - ふるさと,X,18,Sentence
JLPT_Tango_N2_0445-005,聞き慣れる,聞[き]き慣[な]れる,Get Used To Hearing,[sound:JLPT_Tango_N2_0445-005.mp3],,,,,,,,Related to 見慣れる,Ch 04 - 町,Sect 03 - ふるさと,,18.1,Additional
JLPT_Tango_N2_0446,近郊,近郊[きんこう],Suburb,[sound:JLPT_Tango_N2_0446.mp3],実家は東京の近郊にある。,実家[じっか]は東京[とうきょう]の近郊[きんこう]にある。,My parents' home is in the suburbs of Tokyo.,,0,"漢, 名詞, 普通名詞, 一般, *",,,Ch 04 - 町,Sect 03 - ふるさと,X,19,Sentence
JLPT_Tango_N2_0447-001,描く,描[えが]く,Portray / Draw,[sound:JLPT_Tango_N2_0447-001.mp3],① 国で日本の留学生活を夢に描いていた。,① 国[くに]で日本[にっぽん]の留学[りゅうがく]生活[せいかつ]を夢[ゆめ]に描[えが]いていた。,"① Back in my country, I used to dream of studying in Japan.",,2,"混, 動詞, 一般, *, 五段-カ行",,① Imagining in one's mind,Ch 04 - 町,Sect 03 - ふるさと,X,20,Sentence
JLPT_Tango_N2_0447-002,描く,描[えが]く,Portray / Draw,[sound:JLPT_Tango_N2_0447-002.mp3],② 妹がふるさとの風景を描いて、送ってくれた。,② 妹[いもうと]がふるさとの風景[ふうけい]を描[えが]いて、送[おく]ってくれた。,② My little sister drew a picture of my hometown's scenery and sent it to me.,,2,"混, 動詞, 一般, *, 五段-カ行",,② Showing in picture or drawing (also written かく),Ch 04 - 町,Sect 03 - ふるさと,X,21,Sentence
JLPT_Tango_N2_0448,若者,若者[わかもの],Yound People,[sound:JLPT_Tango_N2_0448.mp3],私の故郷では若者が減少している。,私[わたし]の故郷[こきょう]では若者[わかもの]が減少[げんしょう]している。,The number of young people is decreasing in my hometown.,,,,,,Ch 04 - 町,Sect 03 - ふるさと,X,22,Sentence
JLPT_Tango_N2_0449-001,Ｕターン(する),Ｕターン(する),U-turn,[sound:JLPT_Tango_N2_0449-001.mp3],① 大学を卒業して、Ｕターン就職した。,① 大学[だいがく]を卒業[そつぎょう]して、Ｕターン就職[しゅうしょく]した。,① I want to return to my hometown to work after graduating from college.,,,,,① Going somewhere then returing to one's hometown,Ch 04 - 町,Sect 03 - ふるさと,X,23,Sentence
JLPT_Tango_N2_0449-002,Ｕターン(する),Ｕターン(する),U-turn,[sound:JLPT_Tango_N2_0449-002.mp3],② 渋滞だ。次の角でＵターンしよう。,② 渋滞[じゅうたい]だ。次[つぎ]の角[かど]でＵターンしよう。,② Let's make a U-turn at the next corner as the roads are crowded.,,,,,② Changing direction to the opposite direction as before in a vehicle,Ch 04 - 町,Sect 03 - ふるさと,X,24,Sentence
JLPT_Tango_N2_0450,行き来(する),行き来[いきき](する),Go Back And Forth,[sound:JLPT_Tango_N2_0450.mp3],月に数回、故郷と東京を行き来している。,月[つき]に数[すう]回[かい]、故郷[こきょう]と東京[とうきょう]を行き来[いきき]している。,I travel between my hometown and Tokyo several times a month.,,"2,0,3","和, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 03 - ふるさと,X,25,Sentence
JLPT_Tango_N2_0451,担う,担[にな]う,To Shoulder,[sound:JLPT_Tango_N2_0451.mp3],国の将来を担うために、日本に留学した。,国[くに]の将来[しょうらい]を担[にな]うために、日本[にっぽん]に留学[りゅうがく]した。,I came to study in Japan for the future of my country.,,2,"和, 動詞, 一般, *, 五段-ワア行",,,Ch 04 - 町,Sect 03 - ふるさと,X,26,Sentence
JLPT_Tango_N2_0451-101,再利用,再[さい]利用[りよう],Reuse,[sound:JLPT_Tango_N2_0451-101.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！13 - 接辞：とき：再～,,,Remember
JLPT_Tango_N2_0451-102,再開発,再[さい]開発[かいはつ],Redevelop,[sound:JLPT_Tango_N2_0451-102.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！13 - 接辞：とき：再～,,,Remember
JLPT_Tango_N2_0451-103,再発見,再[さい]発見[はっけん],Rediscover,[sound:JLPT_Tango_N2_0451-103.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！13 - 接辞：とき：再～,,,Remember
JLPT_Tango_N2_0451-104,再試験,再[さい]試験[しけん],Reexamination,[sound:JLPT_Tango_N2_0451-104.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！13 - 接辞：とき：再～,,,Remember
JLPT_Tango_N2_0451-105,再検討,再[さい]検討[けんとう],Reconsider,[sound:JLPT_Tango_N2_0451-105.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！13 - 接辞：とき：再～,,,Remember
JLPT_Tango_N2_0451-106,再認識,再[さい]認識[にんしき],Reacknowledge,[sound:JLPT_Tango_N2_0451-106.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！13 - 接辞：とき：再～,,,Remember
JLPT_Tango_N2_0451-107,再出発,再[さい]出発[しゅっぱつ],Restart,[sound:JLPT_Tango_N2_0451-107.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！13 - 接辞：とき：再～,,,Remember
JLPT_Tango_N2_0451-108,再放送,再[さい]放送[ほうそう],Rerun,[sound:JLPT_Tango_N2_0451-108.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！13 - 接辞：とき：再～,,,Remember
JLPT_Tango_N2_0451-109,再生産,再[さい]生産[せいさん],Reproduce,[sound:JLPT_Tango_N2_0451-109.mp3],,,,,,,,,Ch 04 - 町,これも覚えよう！13 - 接辞：とき：再～,,,Remember
JLPT_Tango_N2_0452,行き先,行き先[いきさき],Destination,[sound:JLPT_Tango_N2_0452.mp3],ホームで電車の行き先を確認する。,ホームで電車[でんしゃ]の行き先[いきさき]を確認[かくにん]する。,Confirm the destination of the train ath the platform.,,0,"和, 名詞, 普通名詞, 一般, *",,,Ch 04 - 町,Sect 04 - 交通,X,1,Sentence
JLPT_Tango_N2_0452-005,目的地,目的[もくてき]地[ち],Destination,[sound:JLPT_Tango_N2_0452-005.mp3],,,,,,,,Related to 行き先,Ch 04 - 町,Sect 04 - 交通,,1.1,Additional
JLPT_Tango_N2_0453,方面,方面[ほうめん],Direction,[sound:JLPT_Tango_N2_0453.mp3],東京方面の電車が止まっているそうだ。,東京[とうきょう]方面[ほうめん]の電車[でんしゃ]が止[と]まっているそうだ。,The train heading to Tokyo is apparently not moving.,,3,"漢, 名詞, 普通名詞, 一般, *",,,Ch 04 - 町,Sect 04 - 交通,X,2,Sentence
JLPT_Tango_N2_0454,行き帰り,行き帰[いきかえ]り,Going To And From,[sound:JLPT_Tango_N2_0454.mp3],学校への行き帰りはバスを利用している。,学校[がっこう]への行き帰[いきかえ]りはバスを利用[りよう]している。,I use the bus to get to and from school.,,0,"和, 名詞, 普通名詞, 一般, *",,,Ch 04 - 町,Sect 04 - 交通,X,3,Sentence
JLPT_Tango_N2_0454-005,往復(する),往復[おうふく](する),Round Trip,[sound:JLPT_Tango_N2_0454-005.mp3],,,,,0,"漢, 名詞, 普通名詞, サ変可能, *",,Related to 行き帰り,Ch 04 - 町,Sect 04 - 交通,,3.1,Additional
JLPT_Tango_N2_0455,横断(する),横断[おうだん](する),Cross,[sound:JLPT_Tango_N2_0455.mp3],車が行き来する道を横断するときは注意しよう。,車[くるま]が行き来[いきき]する道[みち]を横断[おうだん]するときは注意[ちゅうい]しよう。,Be careful when crossing where cars are driving.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 04 - 交通,X,4,Sentence
JLPT_Tango_N2_0455-005,横断歩道,横断[おうだん]歩道[ほどう],Pedestrian Crossing,[sound:JLPT_Tango_N2_0455-005.mp3],,,,,,,,Related to 横断(する),Ch 04 - 町,Sect 04 - 交通,,4.1,Additional
JLPT_Tango_N2_0456,通行(する),通行[つうこう](する),Pass,[sound:JLPT_Tango_N2_0456.mp3],この道は車は通行できない。,この道[みち]は車[くるま]は通行[つうこう]できない。,Cars cannot take this road.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 04 - 交通,X,5,Sentence
JLPT_Tango_N2_0456-005,通行禁止,通行[つうこう]禁止[きんし],No Trespassing,[sound:JLPT_Tango_N2_0456-005.mp3],,,,,,,,Related to 通行(する),Ch 04 - 町,Sect 04 - 交通,,5.1,Additional
JLPT_Tango_N2_0456-006,通行止め,通行[つうこう]止[と]め,No Entry,[sound:JLPT_Tango_N2_0456-006.mp3],,,,,,,,Related to 通行(する),Ch 04 - 町,Sect 04 - 交通,,5.2,Additional
JLPT_Tango_N2_0457,歩行者,歩行[ほこう]者[しゃ],Pedestrian,[sound:JLPT_Tango_N2_0457.mp3],歩行者がトラックにひかれた。,歩行[ほこう]者[しゃ]がトラックにひかれた。,The pedestrian was hit by a truck.,,,,,,Ch 04 - 町,Sect 04 - 交通,X,6,Sentence
JLPT_Tango_N2_0457-005,通行人,通行[つうこう]人[にん],Passer-by,[sound:JLPT_Tango_N2_0457-005.mp3],,,,,,,,Related to 歩行者,Ch 04 - 町,Sect 04 - 交通,,6.1,Additional
JLPT_Tango_N2_0458,絶えず,絶[た]えず,Constantly,[sound:JLPT_Tango_N2_0458.mp3],この道路は絶えず車が通っている。,この道路[どうろ]は絶[た]えず車[くるま]が通[かよ]っている。,Cars are always passing this road.,,,,,,Ch 04 - 町,Sect 04 - 交通,X,7,Sentence
JLPT_Tango_N2_0458-005,次々と,次々[つぎつぎ]と,One After Another,[sound:JLPT_Tango_N2_0458-005.mp3],,,,,,,,Related to 絶えず,Ch 04 - 町,Sect 04 - 交通,,7.1,Additional
JLPT_Tango_N2_0459,手段,手段[しゅだん],Method,[sound:JLPT_Tango_N2_0459.mp3],ここへ行くには、どの交通手段が一番早いですか。,ここへ行[い]くには、どの交通[こうつう]手段[しゅだん]が一番[いちばん]早[はや]いですか。,What is the fastest transportation to get here?,,1,"漢, 名詞, 普通名詞, 一般, *",,,Ch 04 - 町,Sect 04 - 交通,X,8,Sentence
JLPT_Tango_N2_0459-005,連絡手段,連絡[れんらく]手段[しゅだん],Communication Method,[sound:JLPT_Tango_N2_0459-005.mp3],,,,,,,,Related to 手段,Ch 04 - 町,Sect 04 - 交通,,8.1,Additional
JLPT_Tango_N2_0460,公共,公共[こうきょう],Public,[sound:JLPT_Tango_N2_0460.mp3],バスも電車も公共の交通手段だ。,バスも電車[でんしゃ]も公共[こうきょう]の交通[こうつう]手段[しゅだん]だ。,Both buses and trains are public transportation.,,,,,,Ch 04 - 町,Sect 04 - 交通,X,9,Sentence
JLPT_Tango_N2_0461,運賃,運賃[うんちん],Transportation Fare,[sound:JLPT_Tango_N2_0461.mp3],日本は物だけでなく、運賃も高い。,日本[にっぽん]は物[もの]だけでなく、運賃[うんちん]も高[たか]い。,"In Japan, not only things but transportation fare is also expensive.",,1,"漢, 名詞, 普通名詞, 一般, *",,,Ch 04 - 町,Sect 04 - 交通,X,10,Sentence
JLPT_Tango_N2_0462,つかまる,つかまる,Hold On,[sound:JLPT_Tango_N2_0462.mp3],電車がゆれるので、つり革につかまった。,電車[でんしゃ]がゆれるので、つり革につかまった。,I grabbed the strap because the train was rocking.,捕まる,0,"和, 動詞, 一般, *, 五段-ラ行",,,Ch 04 - 町,Sect 04 - 交通,X,11,Sentence
JLPT_Tango_N2_0463,アナウンス(する),アナウンス(する),Announcement,[sound:JLPT_Tango_N2_0463.mp3],駅のアナウンスで事故を知った。,駅[えき]のアナウンスで事故[じこ]を知[し]った。,I learned of the accident through the announcement at the station.,アナウンス-announce,"2,3","外, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 04 - 交通,X,12,Sentence
JLPT_Tango_N2_0463-005,車内アナウンス,車内[しゃない]アナウンス,Train Annoucement,[sound:JLPT_Tango_N2_0463-005.mp3],,,,,,,,Related to アナウンス(する),Ch 04 - 町,Sect 04 - 交通,,12.1,Additional
JLPT_Tango_N2_0464,見合わせる,見合[みあ]わせる,"Postpone, Suspend Operations",[sound:JLPT_Tango_N2_0464.mp3],今、電車が運転を見合わせている。,今[いま]、電車[でんしゃ]が運転[うんてん]を見合[みあ]わせている。,The train is not running now.,,"0,4","和, 動詞, 一般, *, 下一段-サ行",,,Ch 04 - 町,Sect 04 - 交通,X,13,Sentence
JLPT_Tango_N2_0464-005,人身事故,人身[じんしん]事故[じこ],Accident Resulting In Personal Injury Or Death,[sound:JLPT_Tango_N2_0464-005.mp3],,,,,,,,Related to 見合わせる,Ch 04 - 町,Sect 04 - 交通,,13.1,Additional
JLPT_Tango_N2_0465-001,乱れる,乱[みだ]れる,Fall Into Disorder,[sound:JLPT_Tango_N2_0465-001.mp3],① 電車の到着時間がかなり乱れている。,① 電車[でんしゃ]の到着[とうちゃく]時間[じかん]がかなり乱[みだ]れている。,① The arrival times of the train fell into disorder.,,3,"和, 動詞, 一般, *, 下一段-ラ行",,① Something that was in proper order falls into disorder,Ch 04 - 町,Sect 04 - 交通,X,14,Sentence
JLPT_Tango_N2_0465-002,乱れる,乱[みだ]れる,Fall Into Disorder,[sound:JLPT_Tango_N2_0465-002.mp3],② 最近、若者の日本語が乱れてきた。,② 最近[さいきん]、若者[わかもの]の日本[にっぽん]語[ご]が乱[みだ]れてきた。,② The Japanese spoken by young people recently are getting corrupt.,,3,"和, 動詞, 一般, *, 下一段-ラ行",,② Rules and manners are not being maintained,Ch 04 - 町,Sect 04 - 交通,X,15,Sentence
JLPT_Tango_N2_0465-005,(～を)乱す,(～を)乱[みだ]す,Disrupt,[sound:JLPT_Tango_N2_0465-005.mp3],,,,,2,"和, 動詞, 一般, *, 五段-サ行",,Related to 乱れる,Ch 04 - 町,Sect 04 - 交通,,15.1,Additional
JLPT_Tango_N2_0466,再開(する),再開[さいかい](する),"Restart, Resume",[sound:JLPT_Tango_N2_0466.mp3],しばらくして、運転が再開された。,しばらくして、運転[うんてん]が再開[さいかい]された。,Operation resumed after a while.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 04 - 交通,X,16,Sentence
JLPT_Tango_N2_0467,ＩＣカード,ＩＣカード,IC Card,[sound:JLPT_Tango_N2_0467.mp3],電車でもバスでもＩＣカードが便利だ。,電車[でんしゃ]でもバスでもＩＣカードが便利[べんり]だ。,IC cards are convenient on both the bus and train.,,,,,,Ch 04 - 町,Sect 04 - 交通,X,17,Sentence
JLPT_Tango_N2_0468,免許,免許[めんきょ],License,[sound:JLPT_Tango_N2_0468.mp3],二十歳で車の運転免許を取った。,二十[にじゅう]歳[さい]で車[くるま]の運転[うんてん]免許[めんきょ]を取[と]った。,I received a dreiver's license at 20 years old.,,1,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 04 - 交通,X,18,Sentence
JLPT_Tango_N2_0468-005,免許証,免許[めんきょ]証[しょう],License Card,[sound:JLPT_Tango_N2_0468-005.mp3],,,,,,,,Related to 免許,Ch 04 - 町,Sect 04 - 交通,,18.1,Additional
JLPT_Tango_N2_0469,左右,左右[さゆう],Left And Right,[sound:JLPT_Tango_N2_0469.mp3],自転車に乗ったら、左右をしっかり見て、交差点を曲がる。,自転車[じてんしゃ]に乗[の]ったら、左右[さゆう]をしっかり見[み]て、交差[こうさ]点[てん]を曲[ま]がる。,Look to your left and right carefully when turning at the intersection on a bicycle.,,1,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 04 - 町,Sect 04 - 交通,X,19,Sentence
JLPT_Tango_N2_0469-005,前後,前後[ぜんご],Front And Back,[sound:JLPT_Tango_N2_0469-005.mp3],,,,,1,"漢, 名詞, 普通名詞, 副詞可能, *",,Related to 左右,Ch 04 - 町,Sect 04 - 交通,,19.1,Additional
